# v3-gemma: LLAMA_KQ_MASK_DERIVED_VERIFY=1 -- every 'verify_derived_kq_mask_impl' record from the run
0.00.976.978 I verify_derived_kq_mask_impl: n_kv=256 n_tps=2 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=512 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.00.976.982 I verify_derived_kq_mask_impl: n_kv=256 n_tps=2 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=512 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
\0.01.051.396 I verify_derived_kq_mask_impl: n_kv=256 n_tps=2 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=512 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.01.051.402 I verify_derived_kq_mask_impl: n_kv=256 n_tps=2 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=512 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.01.326.752 I verify_derived_kq_mask_impl: n_kv=256 n_tps=8 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=2048 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.01.326.761 I verify_derived_kq_mask_impl: n_kv=256 n_tps=8 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=2048 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.01.377.302 I verify_derived_kq_mask_impl: n_kv=2304 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=4718592 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.01.390.651 I verify_derived_kq_mask_impl: n_kv=2304 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=4718592 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.02.300.364 I verify_derived_kq_mask_impl: n_kv=4352 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=8912896 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.02.316.039 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.02.659.035 I verify_derived_kq_mask_impl: n_kv=6400 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=13107200 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.02.675.010 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
