profile,arm,kind,description,dispatches,total_ms,min_us,median_us
staged,staged (RN binary),reference,"F16 dense staged read, no conversion",320,219.3,149.4,673.2
native,native (RN binary),baseline,"bf16 raw read, RN .l/.h convert",320,276.6,146.5,851.1
bf16mma,bf16mma (step-1 route-2),step 1,"bf16 raw read, bf16 compute (step 1)",320,321.7,191.8,984.5
bf16mma2,bf16mma2 (step-1 route-2 f32 acc),step 1,"bf16 compute, f32 accumulate",320,389.4,203.9,1266.6
rn_native_final,rn_native_final,step 2 baseline,"bf16 raw read, RN .l/.h convert",320,276.9,148.6,855.7
staged_final,staged_final,step 2 control,F16 dense staged read,320,214.1,146.7,650.2
rtz_native_true,rtz_native_true,step 2 candidate,"bf16 raw read, RTZ packed v_cvt_pkrtz_f16_f32",320,270.9,144.7,832.4
rtz_staged,rtz_staged,step 2 control,F16 dense staged read,320,221.3,143.4,680.7
pack_native_true,pack_native_true,step 2 candidate,"bf16 raw read, PACK 2x full cvt + v_pack_b32_f16 (RN-exact)",320,276.1,148.0,849.4
pack_native,pack_native,step 2 control,F16 dense staged read,320,220.7,143.0,677.8
rawcopy_native,rawcopy_native,step 2 floor,"bf16 raw read, bit cast (no conversion)",320,198.9,139.0,612.0
staged_ctl,staged_ctl,step 2 control,F16 dense staged read,320,206.3,140.5,635.6
