==== per-type native-arm scan 2026-09-14T21:57:55-05:00  model=Qwen3.5-9B-Q8_0.gguf  depth=32768 ====
q4_1     staged   tg64=24.69±0.05 tg64@32768=19.24±0.00 pp8192=1477.17±0.00
q4_1     default  tg64=24.73±0.06 tg64@32768=23.65±0.00 pp8192=1464.55±0.00
q4_1     native   tg64=24.73±0.07 tg64@32768=23.63±0.00 pp8192=1466.11±0.00
q5_0     staged   tg64=24.65±0.05 tg64@32768=18.63±0.00 pp8192=1474.56±0.00
q5_0     default  tg64=24.72±0.06 tg64@32768=23.48±0.00 pp8192=1457.76±0.00
q5_0     native   tg64=24.71±0.06 tg64@32768=23.50±0.00 pp8192=1456.69±0.00
q5_1     staged   tg64=24.67±0.05 tg64@32768=18.58±0.00 pp8192=1470.55±0.00
q5_1     default  tg64=24.72±0.06 tg64@32768=23.54±0.00 pp8192=1461.09±0.00
q5_1     native   tg64=24.73±0.06 tg64@32768=23.54±0.00 pp8192=1455.84±0.00
iq4_nl   staged   tg64=24.56±0.05 tg64@32768=19.10±0.00 pp8192=1471.77±0.00
iq4_nl   default  tg64=24.62±0.07 tg64@32768=23.31±0.00 pp8192=1463.50±0.00
iq4_nl   native   tg64=24.61±0.07 tg64@32768=23.32±0.00 pp8192=1463.45±0.00
