TYPE    P      VERDICT      hashes W=1..8
f16     192    PURE         efccb3d11a68ad27 efccb3d11a68ad27 efccb3d11a68ad27 efccb3d11a68ad27 efccb3d11a68ad27 efccb3d11a68ad27 efccb3d11a68ad27 efccb3d11a68ad27 
f16     224    PURE         11ee79eaa83fea41 11ee79eaa83fea41 11ee79eaa83fea41 11ee79eaa83fea41 11ee79eaa83fea41 11ee79eaa83fea41 11ee79eaa83fea41 11ee79eaa83fea41 
f16     256    PURE         bc8c5b7b0f24c937 bc8c5b7b0f24c937 bc8c5b7b0f24c937 bc8c5b7b0f24c937 bc8c5b7b0f24c937 bc8c5b7b0f24c937 bc8c5b7b0f24c937 bc8c5b7b0f24c937 
bf16    192    PURE         a751f7cec433d4d2 a751f7cec433d4d2 a751f7cec433d4d2 a751f7cec433d4d2 a751f7cec433d4d2 a751f7cec433d4d2 a751f7cec433d4d2 a751f7cec433d4d2 
bf16    224    PURE         eda8d5634103e17f eda8d5634103e17f eda8d5634103e17f eda8d5634103e17f eda8d5634103e17f eda8d5634103e17f eda8d5634103e17f eda8d5634103e17f 
bf16    256    PURE         7577f1535c9b0e91 7577f1535c9b0e91 7577f1535c9b0e91 7577f1535c9b0e91 7577f1535c9b0e91 7577f1535c9b0e91 7577f1535c9b0e91 7577f1535c9b0e91 
q8_0    192    PURE         19a3ba3bfd132f7e 19a3ba3bfd132f7e 19a3ba3bfd132f7e 19a3ba3bfd132f7e 19a3ba3bfd132f7e 19a3ba3bfd132f7e 19a3ba3bfd132f7e 19a3ba3bfd132f7e 
q8_0    224    PURE         afdcd7b5afe34159 afdcd7b5afe34159 afdcd7b5afe34159 afdcd7b5afe34159 afdcd7b5afe34159 afdcd7b5afe34159 afdcd7b5afe34159 afdcd7b5afe34159 
q8_0    256    PURE         3aa9cb89f496df8e 3aa9cb89f496df8e 3aa9cb89f496df8e 3aa9cb89f496df8e 3aa9cb89f496df8e 3aa9cb89f496df8e 3aa9cb89f496df8e 3aa9cb89f496df8e 
q4_0    192    PURE         a1f19c8d2ae9a72a a1f19c8d2ae9a72a a1f19c8d2ae9a72a a1f19c8d2ae9a72a a1f19c8d2ae9a72a a1f19c8d2ae9a72a a1f19c8d2ae9a72a a1f19c8d2ae9a72a 
q4_0    224    IMPURE(2)    f06141d85297971c f7ed7697e0a719d9 f7ed7697e0a719d9 f7ed7697e0a719d9 f7ed7697e0a719d9 f7ed7697e0a719d9 f7ed7697e0a719d9 f7ed7697e0a719d9 
q4_0    256    IMPURE(2)    be935417430ebf54 1cb34607a860b19b 1cb34607a860b19b 1cb34607a860b19b 1cb34607a860b19b 1cb34607a860b19b 1cb34607a860b19b 1cb34607a860b19b 
