TYPE    P      VERDICT      hashes W=1..8
q4_1    192    PURE         8a17f8bf1d4d16ff 8a17f8bf1d4d16ff 8a17f8bf1d4d16ff 8a17f8bf1d4d16ff 8a17f8bf1d4d16ff 8a17f8bf1d4d16ff 8a17f8bf1d4d16ff 8a17f8bf1d4d16ff 
q4_1    224    PURE         ad120cc3fdbf70e5 ad120cc3fdbf70e5 ad120cc3fdbf70e5 ad120cc3fdbf70e5 ad120cc3fdbf70e5 ad120cc3fdbf70e5 ad120cc3fdbf70e5 ad120cc3fdbf70e5 
q4_1    256    PURE         459a7671103cd72a 459a7671103cd72a 459a7671103cd72a 459a7671103cd72a 459a7671103cd72a 459a7671103cd72a 459a7671103cd72a 459a7671103cd72a 
q5_0    192    PURE         f2e2fc840806b06b f2e2fc840806b06b f2e2fc840806b06b f2e2fc840806b06b f2e2fc840806b06b f2e2fc840806b06b f2e2fc840806b06b f2e2fc840806b06b 
q5_0    224    PURE         bce79fb98ce616c7 bce79fb98ce616c7 bce79fb98ce616c7 bce79fb98ce616c7 bce79fb98ce616c7 bce79fb98ce616c7 bce79fb98ce616c7 bce79fb98ce616c7 
q5_0    256    PURE         86c0272ab7eaaa18 86c0272ab7eaaa18 86c0272ab7eaaa18 86c0272ab7eaaa18 86c0272ab7eaaa18 86c0272ab7eaaa18 86c0272ab7eaaa18 86c0272ab7eaaa18 
q5_1    192    PURE         f1fb7d11d514e633 f1fb7d11d514e633 f1fb7d11d514e633 f1fb7d11d514e633 f1fb7d11d514e633 f1fb7d11d514e633 f1fb7d11d514e633 f1fb7d11d514e633 
q5_1    224    PURE         34aeafd25342d9d6 34aeafd25342d9d6 34aeafd25342d9d6 34aeafd25342d9d6 34aeafd25342d9d6 34aeafd25342d9d6 34aeafd25342d9d6 34aeafd25342d9d6 
q5_1    256    PURE         b3cfddf2cf5da3d2 b3cfddf2cf5da3d2 b3cfddf2cf5da3d2 b3cfddf2cf5da3d2 b3cfddf2cf5da3d2 b3cfddf2cf5da3d2 b3cfddf2cf5da3d2 b3cfddf2cf5da3d2 
iq4_nl  192    PURE         5dccf61cf2724572 5dccf61cf2724572 5dccf61cf2724572 5dccf61cf2724572 5dccf61cf2724572 5dccf61cf2724572 5dccf61cf2724572 5dccf61cf2724572 
iq4_nl  224    PURE         c3e902a7c1ff05a3 c3e902a7c1ff05a3 c3e902a7c1ff05a3 c3e902a7c1ff05a3 c3e902a7c1ff05a3 c3e902a7c1ff05a3 c3e902a7c1ff05a3 c3e902a7c1ff05a3 
iq4_nl  256    PURE         f12ae530be15fd2b f12ae530be15fd2b f12ae530be15fd2b f12ae530be15fd2b f12ae530be15fd2b f12ae530be15fd2b f12ae530be15fd2b f12ae530be15fd2b 
