TYPE    P      VERDICT      hashes W=1..8
q4_0    200    PURE         8b542eca6925026f 8b542eca6925026f 8b542eca6925026f 8b542eca6925026f 8b542eca6925026f 8b542eca6925026f 8b542eca6925026f 8b542eca6925026f 
q4_0    208    PURE         39cc44e109e7df1a 39cc44e109e7df1a 39cc44e109e7df1a 39cc44e109e7df1a 39cc44e109e7df1a 39cc44e109e7df1a 39cc44e109e7df1a 39cc44e109e7df1a 
q4_1    200    IMPURE(2)    d4138d6849f4faea ccf3f5b68143352b ccf3f5b68143352b ccf3f5b68143352b ccf3f5b68143352b ccf3f5b68143352b ccf3f5b68143352b ccf3f5b68143352b 
q4_1    208    PURE         b26f7867fd6a3135 b26f7867fd6a3135 b26f7867fd6a3135 b26f7867fd6a3135 b26f7867fd6a3135 b26f7867fd6a3135 b26f7867fd6a3135 b26f7867fd6a3135 
q5_0    200    PURE         aceb9974421a2d83 aceb9974421a2d83 aceb9974421a2d83 aceb9974421a2d83 aceb9974421a2d83 aceb9974421a2d83 aceb9974421a2d83 aceb9974421a2d83 
q5_0    208    PURE         ab453a5fb2ca2200 ab453a5fb2ca2200 ab453a5fb2ca2200 ab453a5fb2ca2200 ab453a5fb2ca2200 ab453a5fb2ca2200 ab453a5fb2ca2200 ab453a5fb2ca2200 
q5_1    200    PURE         40ff416c9b041284 40ff416c9b041284 40ff416c9b041284 40ff416c9b041284 40ff416c9b041284 40ff416c9b041284 40ff416c9b041284 40ff416c9b041284 
q5_1    208    PURE         e2c9db59f52da532 e2c9db59f52da532 e2c9db59f52da532 e2c9db59f52da532 e2c9db59f52da532 e2c9db59f52da532 e2c9db59f52da532 e2c9db59f52da532 
iq4_nl  200    PURE         cbc2778f01bf28a5 cbc2778f01bf28a5 cbc2778f01bf28a5 cbc2778f01bf28a5 cbc2778f01bf28a5 cbc2778f01bf28a5 cbc2778f01bf28a5 cbc2778f01bf28a5 
iq4_nl  208    PURE         74e50d3c592d17b9 74e50d3c592d17b9 74e50d3c592d17b9 74e50d3c592d17b9 74e50d3c592d17b9 74e50d3c592d17b9 74e50d3c592d17b9 74e50d3c592d17b9 
