# action A depth audit 2026-09-14T04:25:17-05:00
arm	kv	depth	tg64	pp0
delivery	f16	0	29.17	0
delivery	f16	16384	27.76	0
delivery	f16	32768	26.45	0
delivery	f16	65536	24.26	0
delivery	bf16	0	28.99	0
delivery	bf16	16384	27.69	0
delivery	bf16	32768	26.41	0
delivery	bf16	65536	24.20	0
delivery	q8_0	0	28.61	0
delivery	q8_0	16384	25.81	0
delivery	q8_0	32768	22.78	0
delivery	q8_0	65536	18.92	0
delivery	q4_0	0	28.61	0
delivery	q4_0	16384	26.16	0
delivery	q4_0	32768	23.33	0
delivery	q4_0	65536	19.72	0
stock790	f16	0	28.19	0
stock790	f16	16384	27.06	0
stock790	f16	32768	25.84	0
stock790	f16	65536	23.76	0
stock790	bf16	0	27.99	0
stock790	bf16	16384	22.82	0
stock790	bf16	32768	18.98	0
stock790	bf16	65536	14.35	0
stock790	q8_0	0	28.00	0
stock790	q8_0	16384	26.63	0
stock790	q8_0	32768	25.16	0
stock790	q8_0	65536	22.43	0
stock790	q4_0	0	27.71	0
stock790	q4_0	16384	25.92	0
stock790	q4_0	32768	24.12	0
stock790	q4_0	65536	21.03	0
DONE 2026-09-14T04:44:59-05:00
