cell	arm	axis	spec	rc	tps	tok	acc	meanlen	accepted	gen
dense1	stock	code-python	plain	0	28.24	3000				
dense1	pr	code-python	plain	0	28.24	3000				
dense1	deliv	code-python	plain	0	28.87	3000				
dense1	stock	code-python	static_n3	0	62.73	3000	0.90119	3.70	2189	2429
dense1	pr	code-python	static_n3	0	62.66	3000	0.90119	3.70	2189	2429
dense1	deliv	code-python	static_n3	0	63.56	3000	0.90770	3.72	2193	2416
dense1	pr	code-python	mtp_n9	0	82.33	3000	0.66327	6.52	2539	3828
dense1	deliv	code-python	mtp_n9	0	77.02	3000	0.68222	6.39	2529	3707
dense1	deliv	code-python	mtp_n9s9	0	85.07	3000	0.66337	6.71	2552	3847
dense1	pr	code-python	combo_n9nm45	0	82.21	3000	0.66327	6.52	2539	3828
dense1	deliv	code-python	combo_n9nm45	0	76.92	3000	0.68222	6.39	2529	3707
dense1	deliv	code-python	combo_n9s9nm45	0	85.05	3000	0.66337	6.71	2552	3847
dense1	deliv	code-python	adaptive_n7	0	60.85	3000	0.73984	5.94	2494	3371
dense1	pr	code-python	adaptive_n12	0	81.82	3000	0.58519	7.09	2576	4402
dense1	deliv	code-python	adaptive_n12	0	84.66	3000	0.66337	6.71	2552	3847
dense1	pr	code-python	pinned8	0	85.79	3000	0.70323	6.61	2545	3619
dense1	deliv	code-python	pinned8	0	85.76	3000	0.69739	6.56	2542	3645
dense1	pr	code-python	pinned12	0	80.85	3000	0.52922	7.33	2590	4894
dense1	deliv	code-python	pinned12	0	84.35	3000	0.55111	7.59	2604	4725
dense1	stock	prose-rdna-boosts	plain	0	27.86	2424				
dense1	pr	prose-rdna-boosts	plain	0	27.87	2424				
dense1	deliv	prose-rdna-boosts	plain	0	28.49	2226				
dense1	stock	prose-rdna-boosts	static_n3	0	58.74	2237	0.84518	3.54	1605	1899
dense1	pr	prose-rdna-boosts	static_n3	0	58.66	2237	0.84518	3.54	1605	1899
dense1	deliv	prose-rdna-boosts	static_n3	0	56.77	2226	0.81099	3.43	1579	1947
dense1	pr	prose-rdna-boosts	mtp_n9	0	69.38	2319	0.57448	5.63	1909	3323
dense1	deliv	prose-rdna-boosts	mtp_n9	0	51.56	2226	0.63446	4.78	1760	2774
dense1	deliv	prose-rdna-boosts	mtp_n9s9	0	57.02	2135	0.60232	5.11	1716	2849
dense1	pr	prose-rdna-boosts	combo_n9nm45	0	69.37	2319	0.57448	5.63	1909	3323
dense1	deliv	prose-rdna-boosts	combo_n9nm45	0	51.48	2226	0.63446	4.78	1760	2774
dense1	deliv	prose-rdna-boosts	combo_n9s9nm45	0	57.12	2135	0.60232	5.11	1716	2849
dense1	deliv	prose-rdna-boosts	adaptive_n7	0	52.25	2226	0.64754	4.67	1749	2701
dense1	pr	prose-rdna-boosts	adaptive_n12	0	68.15	2423	0.50805	5.96	2019	3974
dense1	deliv	prose-rdna-boosts	adaptive_n12	0	57.04	2135	0.60232	5.11	1716	2849
dense1	pr	prose-rdna-boosts	pinned8	0	74.89	2339	0.62340	5.99	1950	3128
dense1	deliv	prose-rdna-boosts	pinned8	0	69.13	2094	0.55632	5.45	1709	3072
dense1	pr	prose-rdna-boosts	pinned12	0	67.36	2088	0.44310	6.32	1760	3972
dense1	deliv	prose-rdna-boosts	pinned12	0	70.97	2368	0.46399	6.57	2010	4332
dense1	stock	reasoning	plain	0	28.27	3000				
dense1	pr	reasoning	plain	0	28.26	3000				
dense1	deliv	reasoning	plain	0	28.89	3000				
dense1	stock	reasoning	static_n3	0	46.79	3000	0.58571	2.76	1910	3261
dense1	pr	reasoning	static_n3	0	46.80	3000	0.58571	2.76	1910	3261
dense1	deliv	reasoning	static_n3	0	47.89	3000	0.60150	2.80	1929	3207
dense1	pr	reasoning	mtp_n9	0	46.65	3000	0.58404	2.77	1918	3284
dense1	deliv	reasoning	mtp_n9	0	46.27	3000	0.57289	2.90	1965	3430
dense1	deliv	reasoning	mtp_n9s9	0	47.20	3000	0.56835	3.01	2004	3526
dense1	pr	reasoning	combo_n9nm45	0	46.81	3000	0.58404	2.77	1918	3284
dense1	deliv	reasoning	combo_n9nm45	0	46.70	3000	0.57692	2.86	1950	3380
dense1	deliv	reasoning	combo_n9s9nm45	0	45.50	3000	0.54056	2.80	1926	3563
dense1	deliv	reasoning	adaptive_n7	0	46.81	3000	0.58719	2.87	1953	3326
dense1	pr	reasoning	adaptive_n12	0	46.81	3000	0.58404	2.77	1918	3284
dense1	deliv	reasoning	adaptive_n12	0	47.19	3000	0.56835	3.01	2004	3526
dense1	pr	reasoning	pinned8	0	46.26	3000	0.31791	3.54	2151	6766
dense1	deliv	reasoning	pinned8	0	47.13	3000	0.32626	3.61	2168	6645
dense1	pr	reasoning	pinned12	0	38.45	3000	0.20459	3.45	2130	10411
dense1	deliv	reasoning	pinned12	0	38.83	3000	0.20785	3.49	2140	10296
dense1	stock	recall	plain	0	28.34	498				
dense1	pr	recall	plain	0	28.35	498				
dense1	deliv	recall	plain	0	28.97	498				
dense1	stock	recall	static_n3	0	67.69	498	0.99200	3.98	372	375
dense1	pr	recall	static_n3	0	67.65	498	0.99200	3.98	372	375
dense1	deliv	recall	static_n3	0	68.26	498	0.99200	3.98	372	375
dense1	pr	recall	mtp_n9	0	100.60	498	0.97315	7.90	435	447
dense1	deliv	recall	mtp_n9	0	99.05	498	0.96087	8.49	442	460
dense1	deliv	recall	mtp_n9s9	0	120.33	498	0.95299	9.58	446	468
dense1	pr	recall	combo_n9nm45	0	272.04	498	0.98969	26.26	480	485
