axis	prompt	arm	tps	tok	acc	meanlen
reasoning	r1-reasoning.txt	c6s6nm42	46.96	3000	0.57612	2.86
reasoning	r2-reasoning.txt	c6s6nm42	45.52	3000	0.56065	2.75
reasoning	r3-reasoning.txt	c6s6nm42	47.48	3000	0.59566	2.93
reasoning	r4-reasoning.txt	c6s6nm42	48.11	3000	0.60170	2.95
prose	p1-prose.txt	c6s6nm42	52.25	2226	0.64459	4.70
prose	p2-prose.txt	c6s6nm42	50.91	1142	0.63481	3.99
prose	p3-prose.txt	c6s6nm42	53.62	1021	0.64898	4.53
prose	p4-prose.txt	c6s6nm42	47.47	965	0.59226	3.14
code	c1-code.txt	c6s6nm42	62.84	3000	0.77135	5.63
code	c2-code.txt	c6s6nm42	60.58	3000	0.73950	5.43
code	c3-code.txt	c6s6nm42	56.36	3000	0.67759	4.83
code	c4-code.txt	c6s6nm42	54.90	3000	0.66143	4.70
recall	k1-recall.txt	c6s6nm42	197.57	498	0.87365	33.27
recall	k2-recall.txt	c6s6nm42	221.88	499	0.98776	35.57
recall	k3-recall.txt	c6s6nm42	197.70	502	0.88087	33.53
recall	k4-recall.txt	c6s6nm42	187.58	452	0.88306	30.20
reasoning	r1-reasoning.txt	c7s7nm42	46.49	3000	0.57143	2.87
reasoning	r2-reasoning.txt	c7s7nm42	45.19	3000	0.55475	2.76
reasoning	r3-reasoning.txt	c7s7nm42	47.11	3000	0.58909	2.93
reasoning	r4-reasoning.txt	c7s7nm42	47.62	3000	0.59412	2.95
prose	p1-prose.txt	c7s7nm42	51.26	2226	0.62748	4.91
prose	p2-prose.txt	c7s7nm42	49.70	1142	0.61242	4.00
prose	p3-prose.txt	c7s7nm42	51.75	1021	0.61615	4.66
prose	p4-prose.txt	c7s7nm42	46.68	965	0.57192	3.24
code	c1-code.txt	c7s7nm42	60.05	3000	0.72307	6.06
code	c2-code.txt	c7s7nm42	58.04	3000	0.69674	5.77
code	c3-code.txt	c7s7nm42	54.91	3000	0.65604	4.90
code	c4-code.txt	c7s7nm42	53.80	3000	0.64624	4.71
recall	k1-recall.txt	c7s7nm42	198.35	498	0.87545	35.64
recall	k2-recall.txt	c7s7nm42	198.12	499	0.87726	35.71
recall	k3-recall.txt	c7s7nm42	197.76	502	0.88267	35.93
recall	k4-recall.txt	c7s7nm42	196.28	452	0.89796	34.85
