axis	prompt	arm	tps	tok	acc	meanlen
reasoning	r1-reasoning.txt	table	47.03	3000	0.58655	2.85
reasoning	r1-reasoning.txt	bucket	47.33	3000	0.56835	3.01
reasoning	r2-reasoning.txt	table	44.36	3000	0.54399	2.64
reasoning	r2-reasoning.txt	bucket	44.38	3000	0.52209	2.74
reasoning	r3-reasoning.txt	table	48.03	3000	0.61125	2.91
reasoning	r3-reasoning.txt	bucket	45.90	3000	0.55136	2.84
reasoning	r4-reasoning.txt	table	46.36	3000	0.58207	2.77
reasoning	r4-reasoning.txt	bucket	47.64	3000	0.57789	2.95
prose	p1-prose.txt	table	65.55	1921	0.51018	5.58
prose	p1-prose.txt	bucket	57.01	2135	0.60232	5.11
prose	p2-prose.txt	table	55.16	1140	0.56311	4.19
prose	p2-prose.txt	bucket	50.46	1097	0.58211	4.12
prose	p3-prose.txt	table	55.95	1137	0.64242	3.93
prose	p3-prose.txt	bucket	59.18	1202	0.62293	5.31
prose	p4-prose.txt	table	50.07	965	0.65923	3.06
prose	p4-prose.txt	bucket	48.29	999	0.54448	3.46
code	c1-code.txt	table	80.89	3000	0.58111	6.91
code	c1-code.txt	bucket	84.56	3000	0.66337	6.71
code	c2-code.txt	table	71.86	3000	0.56082	5.83
code	c2-code.txt	bucket	68.12	3000	0.66321	5.95
code	c3-code.txt	table	64.85	3000	0.56057	5.31
code	c3-code.txt	bucket	59.84	3000	0.63289	5.15
code	c4-code.txt	table	67.45	3000	0.53593	5.42
code	c4-code.txt	bucket	55.07	3000	0.64412	4.78
recall	k1-recall.txt	table	105.62	498	0.93671	8.79
recall	k1-recall.txt	bucket	127.63	498	0.96000	11.13
recall	k2-recall.txt	table	106.05	499	0.94480	8.81
recall	k2-recall.txt	bucket	123.24	499	0.91549	10.68
recall	k3-recall.txt	table	107.41	502	0.94515	8.86
recall	k3-recall.txt	bucket	127.77	502	0.95238	11.22
recall	k4-recall.txt	table	102.98	452	0.94131	8.43
recall	k4-recall.txt	bucket	124.48	452	0.93864	10.83
