axis	prompt	arm	tps	tok	acc	meanlen
reasoning	r1-reasoning.txt	mtp12	60.97	3000	0.55809	2.95
reasoning	r2-reasoning.txt	mtp12	62.12	3000	0.56241	3.07
reasoning	r3-reasoning.txt	mtp12	65.20	3000	0.60221	3.22
reasoning	r4-reasoning.txt	mtp12	63.34	3000	0.60018	3.05
prose	p1-prose.txt	mtp12	81.03	2353	0.62703	5.10
prose	p2-prose.txt	mtp12	72.51	1030	0.59738	4.07
prose	p3-prose.txt	mtp12	78.76	1152	0.60343	4.83
prose	p4-prose.txt	mtp12	67.35	1100	0.56031	3.65
code	c1-code.txt	mtp12	95.66	3000	0.66094	7.11
code	c2-code.txt	mtp12	88.83	3000	0.66027	5.73
code	c3-code.txt	mtp12	87.60	3000	0.63304	5.91
code	c4-code.txt	mtp12	81.86	3000	0.62244	4.98
recall	k1-recall.txt	mtp12	138.17	498	0.96000	11.13
recall	k2-recall.txt	mtp12	131.86	499	0.90818	10.68
recall	k3-recall.txt	mtp12	138.28	502	0.95238	11.22
recall	k4-recall.txt	mtp12	134.45	452	0.93864	10.83
reasoning	r1-reasoning.txt	c9s9	60.39	3000	0.55809	2.95
reasoning	r2-reasoning.txt	c9s9	61.98	3000	0.56241	3.07
reasoning	r3-reasoning.txt	c9s9	65.02	3000	0.60221	3.22
reasoning	r4-reasoning.txt	c9s9	63.07	3000	0.60018	3.05
prose	p1-prose.txt	c9s9	80.93	2353	0.62703	5.10
prose	p2-prose.txt	c9s9	72.61	1030	0.59738	4.07
prose	p3-prose.txt	c9s9	78.95	1152	0.60343	4.83
prose	p4-prose.txt	c9s9	67.69	1100	0.56031	3.65
code	c1-code.txt	c9s9	97.41	3000	0.66849	7.01
code	c2-code.txt	c9s9	89.16	3000	0.66027	5.73
code	c3-code.txt	c9s9	88.19	3000	0.63304	5.91
code	c4-code.txt	c9s9	81.95	3000	0.62244	4.98
recall	k1-recall.txt	c9s9	130.77	498	0.95940	9.63
recall	k2-recall.txt	c9s9	130.66	499	0.96154	9.65
recall	k3-recall.txt	c9s9	133.83	502	0.96795	9.71
recall	k4-recall.txt	c9s9	132.70	452	0.94213	9.48
reasoning	r1-reasoning.txt	c9s9nm45	61.56	3000	0.56681	3.00
reasoning	r2-reasoning.txt	c9s9nm45	60.37	3000	0.55347	2.92
reasoning	r3-reasoning.txt	c9s9nm45	63.04	3000	0.56884	3.14
reasoning	r4-reasoning.txt	c9s9nm45	61.77	3000	0.58563	2.94
prose	p1-prose.txt	c9s9nm45	80.97	2353	0.62703	5.10
prose	p2-prose.txt	c9s9nm45	72.57	1030	0.59738	4.07
prose	p3-prose.txt	c9s9nm45	79.94	1151	0.61023	4.91
prose	p4-prose.txt	c9s9nm45	67.67	1100	0.56031	3.65
code	c1-code.txt	c9s9nm45	97.42	3000	0.66849	7.01
code	c2-code.txt	c9s9nm45	89.39	3000	0.66027	5.73
code	c3-code.txt	c9s9nm45	88.03	3000	0.62837	5.95
code	c4-code.txt	c9s9nm45	81.95	3000	0.62244	4.98
recall	k1-recall.txt	c9s9nm45	234.81	498	0.96813	38.38
recall	k2-recall.txt	c9s9nm45	235.01	499	0.97012	38.46
recall	k3-recall.txt	c9s9nm45	236.15	502	0.97610	38.69
recall	k4-recall.txt	c9s9nm45	204.43	452	0.87649	34.85
