ggml_cuda_init: found 3 ROCm devices (Total VRAM: 97872 MiB):
  Device 0: AMD Radeon AI PRO R9700, gfx1201 (0x1201), VMM: no, Wave Size: 32, VRAM: 32624 MiB
  Device 1: AMD Radeon AI PRO R9700, gfx1201 (0x1201), VMM: no, Wave Size: 32, VRAM: 32624 MiB
  Device 2: AMD Radeon AI PRO R9700, gfx1201 (0x1201), VMM: no, Wave Size: 32, VRAM: 32624 MiB
| model                          |       size |     params | backend    | ngl | threads | n_ubatch | type_k | type_v |     sm |  fa |         lm |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | --: | ------: | -------: | -----: | -----: | -----: | --: | ---------: | --------------: | -------------------: |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   bf16 |   bf16 | tensor |   1 |       none |         pp16384 |       2251.06 ± 2.22 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   bf16 |   bf16 | tensor |   1 |       none |          pp8192 |      2326.82 ± 12.71 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   bf16 |   bf16 | tensor |   1 |       none |          pp4096 |       2387.91 ± 3.76 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   bf16 |   bf16 | tensor |   1 |       none |          pp2048 |       2515.85 ± 9.11 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   bf16 |   bf16 | tensor |   1 |       none |          pp1024 |       2158.93 ± 2.47 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   bf16 |   bf16 | tensor |   1 |       none |           pp512 |       1636.43 ± 9.93 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   bf16 |   bf16 | tensor |   1 |       none |           tg128 |         50.37 ± 2.57 |

build: c63f7f2a0 (10845)
