ggml_cuda_init: found 3 ROCm devices (Total VRAM: 97872 MiB):
  Device 0: AMD Radeon AI PRO R9700, gfx1201 (0x1201), VMM: no, Wave Size: 32, VRAM: 32624 MiB
  Device 1: AMD Radeon AI PRO R9700, gfx1201 (0x1201), VMM: no, Wave Size: 32, VRAM: 32624 MiB
  Device 2: AMD Radeon AI PRO R9700, gfx1201 (0x1201), VMM: no, Wave Size: 32, VRAM: 32624 MiB
| model                          |       size |     params | backend    | ngl | threads | n_ubatch | type_k | type_v |     sm |  fa |         lm |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | --: | ------: | -------: | -----: | -----: | -----: | --: | ---------: | --------------: | -------------------: |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   bf16 |   bf16 | tensor |   1 |       none |         pp16384 |       2374.43 ± 2.59 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   bf16 |   bf16 | tensor |   1 |       none |          pp8192 |       2437.97 ± 1.84 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   bf16 |   bf16 | tensor |   1 |       none |          pp4096 |       2476.13 ± 3.40 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   bf16 |   bf16 | tensor |   1 |       none |          pp2048 |       2590.83 ± 7.45 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   bf16 |   bf16 | tensor |   1 |       none |          pp1024 |      2302.77 ± 12.44 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   bf16 |   bf16 | tensor |   1 |       none |           pp512 |      1746.47 ± 19.57 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   bf16 |   bf16 | tensor |   1 |       none |           tg128 |         50.00 ± 2.44 |

build: c63f7f2a0 (10845)
