0.00.020.939 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.021.164 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.021.236 I srv          init: The UI is disabled
0.00.021.238 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.021.291 W srv  llama_server: -----------------
0.00.021.292 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.021.292 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.021.292 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.021.292 W srv  llama_server: -----------------
0.00.022.538 I srv    load_model: loading model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.554.740 I cmn          init: llama threadpool init, n_threads = 16
0.03.741.632 I common_speculative_init_result: creating MTP draft context against the target model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.759.738 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.03.911.396 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.941.928 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.03.941.963 I srv  llama_server: model loaded
0.03.941.969 I srv  llama_server: listening on http://127.0.0.1:8997
0.04.081.672 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.081.730 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.10.529.640 I slot print_timing: id  0 | task 0 | n_gen =    101, tg =  17.07 t/s, tg_3s =  17.24 t/s
0.13.626.961 I slot print_timing: id  0 | task 0 | n_gen =    149, tg =  16.52 t/s, tg_3s =  15.50 t/s
0.16.727.477 I slot print_timing: id  0 | task 0 | n_gen =    191, tg =  15.76 t/s, tg_3s =  13.55 t/s
0.19.830.521 I slot print_timing: id  0 | task 0 | n_gen =    234, tg =  15.37 t/s, tg_3s =  13.86 t/s
0.22.929.528 I slot print_timing: id  0 | task 0 | n_gen =    280, tg =  15.28 t/s, tg_3s =  14.84 t/s
0.26.035.959 I slot print_timing: id  0 | task 0 | n_gen =    339, tg =  15.82 t/s, tg_3s =  18.99 t/s
0.29.137.579 I slot print_timing: id  0 | task 0 | n_gen =    388, tg =  15.82 t/s, tg_3s =  15.80 t/s
0.32.236.200 I slot print_timing: id  0 | task 0 | n_gen =    425, tg =  15.38 t/s, tg_3s =  11.94 t/s
0.35.349.532 I slot print_timing: id  0 | task 0 | n_gen =    461, tg =  14.99 t/s, tg_3s =  11.56 t/s
0.38.453.999 I slot print_timing: id  0 | task 0 | n_gen =    494, tg =  14.59 t/s, tg_3s =  10.63 t/s
0.41.558.944 I slot print_timing: id  0 | task 0 | n_gen =    528, tg =  14.29 t/s, tg_3s =  10.95 t/s
0.44.669.187 I slot print_timing: id  0 | task 0 | n_gen =    585, tg =  14.60 t/s, tg_3s =  18.33 t/s
0.47.775.053 I slot print_timing: id  0 | task 0 | n_gen =    624, tg =  14.45 t/s, tg_3s =  12.56 t/s
0.50.884.730 I slot print_timing: id  0 | task 0 | n_gen =    672, tg =  14.52 t/s, tg_3s =  15.44 t/s
0.53.421.040 I slot print_timing: id  0 | task 0 | prompt eval time =     588.30 ms /    81 tokens (    7.26 ms per token,   137.68 tokens per second)
0.53.421.046 I slot print_timing: id  0 | task 0 |        eval time =   48750.97 ms /   700 tokens (   69.74 ms per token,    14.34 tokens per second)
0.53.421.047 I slot print_timing: id  0 | task 0 |       total time =   49339.27 ms /   781 tokens
0.53.421.054 I slot print_timing: id  0 | task 0 |    graphs reused =        278
0.53.421.063 I slot print_timing: id  0 | task 0 | draft acceptance = 0.36945 (  416 accepted /  1126 generated), mean len =  2.48
0.53.421.190 I slot      release: id  0 | task 0 | stop processing: n_tokens = 780, truncated = 0
0.53.425.347 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.549 (> 0.100 thold), f_keep = 0.058
0.53.524.473 I slot launch_slot_: id  0 | task 287 | processing task, is_child = 0
0.59.280.103 I slot print_timing: id  0 | task 287 | n_gen =    100, tg =  19.16 t/s, tg_3s =  19.36 t/s
1.02.372.548 I slot print_timing: id  0 | task 287 | n_gen =    134, tg =  16.10 t/s, tg_3s =  10.99 t/s
1.05.475.474 I slot print_timing: id  0 | task 287 | n_gen =    184, tg =  16.11 t/s, tg_3s =  16.11 t/s
1.08.577.516 I slot print_timing: id  0 | task 287 | n_gen =    228, tg =  15.69 t/s, tg_3s =  14.18 t/s
1.11.679.881 I slot print_timing: id  0 | task 287 | n_gen =    276, tg =  15.66 t/s, tg_3s =  15.47 t/s
1.14.779.956 I slot print_timing: id  0 | task 287 | n_gen =    311, tg =  15.00 t/s, tg_3s =  11.29 t/s
1.17.878.488 I slot print_timing: id  0 | task 287 | n_gen =    347, tg =  14.56 t/s, tg_3s =  11.62 t/s
1.20.978.588 I slot print_timing: id  0 | task 287 | n_gen =    387, tg =  14.37 t/s, tg_3s =  12.90 t/s
1.24.079.658 I slot print_timing: id  0 | task 287 | n_gen =    423, tg =  14.08 t/s, tg_3s =  11.61 t/s
1.27.192.068 I slot print_timing: id  0 | task 287 | n_gen =    465, tg =  14.03 t/s, tg_3s =  13.49 t/s
1.30.298.716 I slot print_timing: id  0 | task 287 | n_gen =    502, tg =  13.85 t/s, tg_3s =  11.91 t/s
1.33.406.327 I slot print_timing: id  0 | task 287 | n_gen =    548, tg =  13.92 t/s, tg_3s =  14.80 t/s
1.36.513.620 I slot print_timing: id  0 | task 287 | n_gen =    598, tg =  14.08 t/s, tg_3s =  16.09 t/s
1.39.622.987 I slot print_timing: id  0 | task 287 | n_gen =    645, tg =  14.15 t/s, tg_3s =  15.12 t/s
1.42.735.634 I slot print_timing: id  0 | task 287 | n_gen =    689, tg =  14.15 t/s, tg_3s =  14.14 t/s
1.43.572.022 I slot print_timing: id  0 | task 287 | prompt eval time =     589.50 ms /    82 tokens (    7.19 ms per token,   139.10 tokens per second)
1.43.572.028 I slot print_timing: id  0 | task 287 |        eval time =   49457.96 ms /   700 tokens (   70.76 ms per token,    14.13 tokens per second)
1.43.572.030 I slot print_timing: id  0 | task 287 |       total time =   50047.46 ms /   782 tokens
1.43.572.031 I slot print_timing: id  0 | task 287 |    graphs reused =        560
1.43.572.041 I slot print_timing: id  0 | task 287 | draft acceptance = 0.35983 (  412 accepted /  1145 generated), mean len =  2.44
1.43.572.112 I slot      release: id  0 | task 287 | stop processing: n_tokens = 781, truncated = 0
1.43.574.010 I srv    operator(): operator(): cleaning up before exit...
