0.00.020.080 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.020.286 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.020.353 I srv          init: The UI is disabled
0.00.020.354 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.020.406 W srv  llama_server: -----------------
0.00.020.407 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.020.407 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.020.408 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.020.408 W srv  llama_server: -----------------
0.00.021.617 I srv    load_model: loading model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.504.157 I cmn          init: llama threadpool init, n_threads = 16
0.03.700.279 I common_speculative_init_result: creating MTP draft context against the target model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.718.829 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.03.870.888 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.901.523 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.03.901.558 I srv  llama_server: model loaded
0.03.901.564 I srv  llama_server: listening on http://127.0.0.1:8997
0.04.057.301 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.057.357 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.10.485.927 I slot print_timing: id  0 | task 0 | n_gen =    101, tg =  17.05 t/s, tg_3s =  17.22 t/s
0.13.581.378 I slot print_timing: id  0 | task 0 | n_gen =    149, tg =  16.52 t/s, tg_3s =  15.51 t/s
0.16.682.257 I slot print_timing: id  0 | task 0 | n_gen =    191, tg =  15.75 t/s, tg_3s =  13.54 t/s
0.19.783.975 I slot print_timing: id  0 | task 0 | n_gen =    234, tg =  15.37 t/s, tg_3s =  13.86 t/s
0.22.884.010 I slot print_timing: id  0 | task 0 | n_gen =    280, tg =  15.28 t/s, tg_3s =  14.84 t/s
0.25.989.085 I slot print_timing: id  0 | task 0 | n_gen =    339, tg =  15.82 t/s, tg_3s =  19.00 t/s
0.29.090.219 I slot print_timing: id  0 | task 0 | n_gen =    388, tg =  15.82 t/s, tg_3s =  15.80 t/s
0.32.188.304 I slot print_timing: id  0 | task 0 | n_gen =    425, tg =  15.38 t/s, tg_3s =  11.94 t/s
0.35.298.687 I slot print_timing: id  0 | task 0 | n_gen =    461, tg =  14.99 t/s, tg_3s =  11.57 t/s
0.38.402.928 I slot print_timing: id  0 | task 0 | n_gen =    494, tg =  14.59 t/s, tg_3s =  10.63 t/s
0.41.506.486 I slot print_timing: id  0 | task 0 | n_gen =    528, tg =  14.29 t/s, tg_3s =  10.96 t/s
0.44.613.367 I slot print_timing: id  0 | task 0 | n_gen =    585, tg =  14.60 t/s, tg_3s =  18.35 t/s
0.47.716.365 I slot print_timing: id  0 | task 0 | n_gen =    624, tg =  14.46 t/s, tg_3s =  12.57 t/s
0.50.825.910 I slot print_timing: id  0 | task 0 | n_gen =    672, tg =  14.52 t/s, tg_3s =  15.44 t/s
0.53.362.898 I slot print_timing: id  0 | task 0 | prompt eval time =     564.25 ms /    81 tokens (    6.97 ms per token,   143.55 tokens per second)
0.53.362.903 I slot print_timing: id  0 | task 0 |        eval time =   48741.25 ms /   700 tokens (   69.73 ms per token,    14.34 tokens per second)
0.53.362.904 I slot print_timing: id  0 | task 0 |       total time =   49305.50 ms /   781 tokens
0.53.362.910 I slot print_timing: id  0 | task 0 |    graphs reused =        278
0.53.362.917 I slot print_timing: id  0 | task 0 | draft acceptance = 0.36945 (  416 accepted /  1126 generated), mean len =  2.48
0.53.363.012 I slot      release: id  0 | task 0 | stop processing: n_tokens = 780, truncated = 0
0.53.364.684 I srv    operator(): operator(): cleaning up before exit...
