0.00.019.734 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.019.948 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.020.013 I srv          init: The UI is disabled
0.00.020.014 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.020.068 W srv  llama_server: -----------------
0.00.020.069 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.020.070 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.020.070 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.020.070 W srv  llama_server: -----------------
0.00.021.315 I srv    load_model: loading model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.00.491.463 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.491.471 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.491.476 W model has unused tensor blk.64.attn_q.weight (size = 66846720 bytes) -- ignoring
0.00.491.477 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.491.479 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.491.484 W model has unused tensor blk.64.attn_output.weight (size = 33423360 bytes) -- ignoring
0.00.491.486 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.491.487 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.491.489 W model has unused tensor blk.64.ffn_gate.weight (size = 94699520 bytes) -- ignoring
0.00.491.490 W model has unused tensor blk.64.ffn_down.weight (size = 94699520 bytes) -- ignoring
0.00.491.492 W model has unused tensor blk.64.ffn_up.weight (size = 94699520 bytes) -- ignoring
0.00.491.496 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 55705600 bytes) -- ignoring
0.00.491.498 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.491.499 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.491.504 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.03.217.075 I cmn          init: llama threadpool init, n_threads = 16
0.03.410.179 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.03.555.629 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.558.634 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.03.558.669 I srv  llama_server: model loaded
0.03.558.674 I srv  llama_server: listening on http://127.0.0.1:8997
0.03.922.931 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.03.922.988 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.17.023.649 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =   7.85 t/s, tg_3s =   7.93 t/s
0.20.075.245 I slot print_timing: id  0 | task 0 | n_gen =    124, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.23.126.723 I slot print_timing: id  0 | task 0 | n_gen =    148, tg =   7.86 t/s, tg_3s =   7.87 t/s
0.26.178.406 I slot print_timing: id  0 | task 0 | n_gen =    172, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.29.244.987 I slot print_timing: id  0 | task 0 | n_gen =    196, tg =   7.85 t/s, tg_3s =   7.83 t/s
0.32.299.460 I slot print_timing: id  0 | task 0 | n_gen =    220, tg =   7.85 t/s, tg_3s =   7.86 t/s
0.35.354.326 I slot print_timing: id  0 | task 0 | n_gen =    244, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.38.408.579 I slot print_timing: id  0 | task 0 | n_gen =    268, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.41.463.271 I slot print_timing: id  0 | task 0 | n_gen =    292, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.44.517.375 I slot print_timing: id  0 | task 0 | n_gen =    316, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.47.572.206 I slot print_timing: id  0 | task 0 | n_gen =    340, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.50.626.569 I slot print_timing: id  0 | task 0 | n_gen =    364, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.53.680.976 I slot print_timing: id  0 | task 0 | n_gen =    388, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.56.736.062 I slot print_timing: id  0 | task 0 | n_gen =    412, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.59.802.626 I slot print_timing: id  0 | task 0 | n_gen =    436, tg =   7.85 t/s, tg_3s =   7.83 t/s
1.02.859.618 I slot print_timing: id  0 | task 0 | n_gen =    460, tg =   7.85 t/s, tg_3s =   7.85 t/s
1.05.916.870 I slot print_timing: id  0 | task 0 | n_gen =    484, tg =   7.85 t/s, tg_3s =   7.85 t/s
1.08.974.209 I slot print_timing: id  0 | task 0 | n_gen =    508, tg =   7.85 t/s, tg_3s =   7.85 t/s
1.12.031.516 I slot print_timing: id  0 | task 0 | n_gen =    532, tg =   7.85 t/s, tg_3s =   7.85 t/s
1.15.088.634 I slot print_timing: id  0 | task 0 | n_gen =    556, tg =   7.85 t/s, tg_3s =   7.85 t/s
1.18.146.225 I slot print_timing: id  0 | task 0 | n_gen =    580, tg =   7.85 t/s, tg_3s =   7.85 t/s
1.21.203.340 I slot print_timing: id  0 | task 0 | n_gen =    604, tg =   7.85 t/s, tg_3s =   7.85 t/s
