0.00.019.881 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.020.081 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.020.150 I srv          init: The UI is disabled
0.00.020.150 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.020.204 W srv  llama_server: -----------------
0.00.020.205 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.020.205 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.020.205 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.020.205 W srv  llama_server: -----------------
0.00.021.416 I srv    load_model: loading model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.452.003 I cmn          init: llama threadpool init, n_threads = 16
0.03.647.135 I common_speculative_init_result: creating MTP draft context against the target model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.668.915 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.03.817.801 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.853.130 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.03.853.166 I srv  llama_server: model loaded
0.03.853.170 I srv  llama_server: listening on http://127.0.0.1:8997
0.04.049.790 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.049.848 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.11.129.444 I slot print_timing: id  0 | task 0 | n_gen =    101, tg =  15.34 t/s, tg_3s =  15.49 t/s
0.14.153.836 I slot print_timing: id  0 | task 0 | n_gen =    145, tg =  15.09 t/s, tg_3s =  14.55 t/s
0.17.181.392 I slot print_timing: id  0 | task 0 | n_gen =    188, tg =  14.88 t/s, tg_3s =  14.20 t/s
0.20.210.176 I slot print_timing: id  0 | task 0 | n_gen =    227, tg =  14.49 t/s, tg_3s =  12.88 t/s
0.23.239.074 I slot print_timing: id  0 | task 0 | n_gen =    268, tg =  14.33 t/s, tg_3s =  13.54 t/s
0.26.268.159 I slot print_timing: id  0 | task 0 | n_gen =    318, tg =  14.64 t/s, tg_3s =  16.51 t/s
0.29.296.946 I slot print_timing: id  0 | task 0 | n_gen =    368, tg =  14.87 t/s, tg_3s =  16.51 t/s
0.32.325.821 I slot print_timing: id  0 | task 0 | n_gen =    413, tg =  14.87 t/s, tg_3s =  14.86 t/s
0.35.358.693 I slot print_timing: id  0 | task 0 | n_gen =    460, tg =  14.93 t/s, tg_3s =  15.50 t/s
0.38.391.263 I slot print_timing: id  0 | task 0 | n_gen =    512, tg =  15.13 t/s, tg_3s =  17.15 t/s
0.41.424.052 I slot print_timing: id  0 | task 0 | n_gen =    562, tg =  15.24 t/s, tg_3s =  16.49 t/s
0.44.457.141 I slot print_timing: id  0 | task 0 | n_gen =    617, tg =  15.46 t/s, tg_3s =  18.13 t/s
0.47.489.183 I slot print_timing: id  0 | task 0 | n_gen =    672, tg =  15.65 t/s, tg_3s =  18.14 t/s
0.49.008.165 I slot print_timing: id  0 | task 0 | prompt eval time =     560.84 ms /    81 tokens (    6.92 ms per token,   144.43 tokens per second)
0.49.008.170 I slot print_timing: id  0 | task 0 |        eval time =   44397.42 ms /   700 tokens (   63.52 ms per token,    15.74 tokens per second)
0.49.008.171 I slot print_timing: id  0 | task 0 |       total time =   44958.25 ms /   781 tokens
0.49.008.177 I slot print_timing: id  0 | task 0 |    graphs reused =        290
0.49.008.183 I slot print_timing: id  0 | task 0 | draft acceptance = 0.69283 (  406 accepted /   586 generated), mean len =  2.39
0.49.008.305 I slot      release: id  0 | task 0 | stop processing: n_tokens = 780, truncated = 0
0.49.013.796 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.104
0.49.114.487 I slot launch_slot_: id  0 | task 297 | processing task, is_child = 0
0.56.175.830 I slot print_timing: id  0 | task 297 | n_gen =    101, tg =  15.37 t/s, tg_3s =  15.53 t/s
0.59.199.966 I slot print_timing: id  0 | task 297 | n_gen =    145, tg =  15.11 t/s, tg_3s =  14.55 t/s
1.02.228.350 I slot print_timing: id  0 | task 297 | n_gen =    188, tg =  14.89 t/s, tg_3s =  14.20 t/s
1.05.256.859 I slot print_timing: id  0 | task 297 | n_gen =    227, tg =  14.50 t/s, tg_3s =  12.88 t/s
1.08.285.178 I slot print_timing: id  0 | task 297 | n_gen =    268, tg =  14.34 t/s, tg_3s =  13.54 t/s
1.11.320.236 I slot print_timing: id  0 | task 297 | n_gen =    318, tg =  14.64 t/s, tg_3s =  16.47 t/s
1.14.348.624 I slot print_timing: id  0 | task 297 | n_gen =    365, tg =  14.75 t/s, tg_3s =  15.52 t/s
1.17.376.879 I slot print_timing: id  0 | task 297 | n_gen =    407, tg =  14.65 t/s, tg_3s =  13.87 t/s
1.20.409.706 I slot print_timing: id  0 | task 297 | n_gen =    456, tg =  14.80 t/s, tg_3s =  16.16 t/s
1.23.442.165 I slot print_timing: id  0 | task 297 | n_gen =    506, tg =  14.95 t/s, tg_3s =  16.49 t/s
1.26.474.674 I slot print_timing: id  0 | task 297 | n_gen =    558, tg =  15.13 t/s, tg_3s =  17.15 t/s
1.29.507.325 I slot print_timing: id  0 | task 297 | n_gen =    611, tg =  15.31 t/s, tg_3s =  17.48 t/s
1.32.540.037 I slot print_timing: id  0 | task 297 | n_gen =    666, tg =  15.51 t/s, tg_3s =  18.14 t/s
1.34.361.320 I slot print_timing: id  0 | task 297 | prompt eval time =     556.88 ms /    81 tokens (    6.88 ms per token,   145.45 tokens per second)
1.34.361.324 I slot print_timing: id  0 | task 297 |        eval time =   44689.90 ms /   700 tokens (   63.93 ms per token,    15.64 tokens per second)
1.34.361.325 I slot print_timing: id  0 | task 297 |       total time =   45246.78 ms /   781 tokens
1.34.361.326 I slot print_timing: id  0 | task 297 |    graphs reused =        581
1.34.361.331 I slot print_timing: id  0 | task 297 | draft acceptance = 0.68475 (  404 accepted /   590 generated), mean len =  2.37
1.34.361.405 I slot      release: id  0 | task 297 | stop processing: n_tokens = 780, truncated = 0
1.34.370.186 I srv    operator(): operator(): cleaning up before exit...
