0.00.020.993 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.021.206 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.021.279 I srv          init: The UI is disabled
0.00.021.279 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.021.334 W srv  llama_server: -----------------
0.00.021.334 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.021.335 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.021.335 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.021.335 W srv  llama_server: -----------------
0.00.022.568 I srv    load_model: loading model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.531.871 I cmn          init: llama threadpool init, n_threads = 16
0.03.710.045 I common_speculative_init_result: creating MTP draft context against the target model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.728.088 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.03.914.330 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.943.536 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.03.943.572 I srv  llama_server: model loaded
0.03.943.578 I srv  llama_server: listening on http://127.0.0.1:8997
0.04.073.549 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.073.605 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.11.231.284 I slot print_timing: id  0 | task 0 | n_gen =    102, tg =  15.36 t/s, tg_3s =  15.51 t/s
0.14.276.606 I slot print_timing: id  0 | task 0 | n_gen =    143, tg =  14.76 t/s, tg_3s =  13.46 t/s
0.17.355.695 I slot print_timing: id  0 | task 0 | n_gen =    186, tg =  14.57 t/s, tg_3s =  13.97 t/s
0.20.405.114 I slot print_timing: id  0 | task 0 | n_gen =    230, tg =  14.54 t/s, tg_3s =  14.43 t/s
0.23.454.899 I slot print_timing: id  0 | task 0 | n_gen =    273, tg =  14.47 t/s, tg_3s =  14.10 t/s
0.26.503.954 I slot print_timing: id  0 | task 0 | n_gen =    319, tg =  14.56 t/s, tg_3s =  15.09 t/s
0.29.553.269 I slot print_timing: id  0 | task 0 | n_gen =    357, tg =  14.30 t/s, tg_3s =  12.46 t/s
0.32.601.889 I slot print_timing: id  0 | task 0 | n_gen =    396, tg =  14.13 t/s, tg_3s =  12.79 t/s
0.35.685.108 I slot print_timing: id  0 | task 0 | n_gen =    447, tg =  14.37 t/s, tg_3s =  16.54 t/s
0.38.736.863 I slot print_timing: id  0 | task 0 | n_gen =    489, tg =  14.32 t/s, tg_3s =  13.76 t/s
0.41.787.894 I slot print_timing: id  0 | task 0 | n_gen =    533, tg =  14.33 t/s, tg_3s =  14.42 t/s
