0.00.020.355 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.020.558 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.020.674 I srv          init: The UI is disabled
0.00.020.675 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.020.720 W srv  llama_server: -----------------
0.00.020.722 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.020.722 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.020.722 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.020.722 W srv  llama_server: -----------------
0.00.021.949 I srv    load_model: loading model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.503.221 I cmn          init: llama threadpool init, n_threads = 16
0.03.687.144 I common_speculative_init_result: creating MTP draft context against the target model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.705.480 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.03.895.112 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.895.220 W llama_sampler_backend_support: device 'ROCm0' does not have support for op TOP_K needed for sampler 'top-k'
0.03.925.847 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.03.925.877 I srv  llama_server: model loaded
0.03.925.883 I srv  llama_server: listening on http://127.0.0.1:8997
0.04.070.175 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.070.230 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.10.554.517 I slot print_timing: id  0 | task 0 | n_gen =    104, tg =  17.46 t/s, tg_3s =  17.63 t/s
0.13.667.431 I slot print_timing: id  0 | task 0 | n_gen =    137, tg =  15.09 t/s, tg_3s =  10.60 t/s
0.16.817.685 I slot print_timing: id  0 | task 0 | n_gen =    183, tg =  14.96 t/s, tg_3s =  14.60 t/s
0.19.948.880 I slot print_timing: id  0 | task 0 | n_gen =    236, tg =  15.37 t/s, tg_3s =  16.93 t/s
0.23.075.637 I slot print_timing: id  0 | task 0 | n_gen =    273, tg =  14.77 t/s, tg_3s =  11.83 t/s
0.26.212.661 I slot print_timing: id  0 | task 0 | n_gen =    319, tg =  14.75 t/s, tg_3s =  14.66 t/s
0.29.341.115 I slot print_timing: id  0 | task 0 | n_gen =    356, tg =  14.38 t/s, tg_3s =  11.83 t/s
0.32.472.773 I slot print_timing: id  0 | task 0 | n_gen =    398, tg =  14.27 t/s, tg_3s =  13.41 t/s
0.35.634.259 I slot print_timing: id  0 | task 0 | n_gen =    448, tg =  14.43 t/s, tg_3s =  15.82 t/s
0.38.771.778 I slot print_timing: id  0 | task 0 | n_gen =    488, tg =  14.27 t/s, tg_3s =  12.75 t/s
0.41.911.448 I slot print_timing: id  0 | task 0 | n_gen =    539, tg =  14.44 t/s, tg_3s =  16.24 t/s
0.45.052.715 I slot print_timing: id  0 | task 0 | n_gen =    595, tg =  14.70 t/s, tg_3s =  17.83 t/s
0.48.192.364 I slot print_timing: id  0 | task 0 | n_gen =    635, tg =  14.56 t/s, tg_3s =  12.74 t/s
0.51.333.874 I slot print_timing: id  0 | task 0 | n_gen =    682, tg =  14.59 t/s, tg_3s =  14.96 t/s
