0.00.020.121 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.020.326 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.020.394 I srv          init: The UI is disabled
0.00.020.396 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.020.448 W srv  llama_server: -----------------
0.00.020.449 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.020.449 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.020.449 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.020.450 W srv  llama_server: -----------------
0.00.021.664 I srv    load_model: loading model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.562.269 I cmn          init: llama threadpool init, n_threads = 16
0.03.855.776 I common_speculative_init_result: creating MTP draft context against the target model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.928.548 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.04.078.107 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.04.225.489 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.04.225.524 I srv  llama_server: model loaded
0.04.225.530 I srv  llama_server: listening on http://127.0.0.1:8997
0.05.080.892 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.05.080.953 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.12.175.323 I slot print_timing: id  0 | task 0 | n_gen =    101, tg =  15.31 t/s, tg_3s =  15.47 t/s
0.15.205.667 I slot print_timing: id  0 | task 0 | n_gen =    145, tg =  15.06 t/s, tg_3s =  14.52 t/s
0.18.240.364 I slot print_timing: id  0 | task 0 | n_gen =    188, tg =  14.85 t/s, tg_3s =  14.17 t/s
0.21.280.418 I slot print_timing: id  0 | task 0 | n_gen =    227, tg =  14.45 t/s, tg_3s =  12.83 t/s
0.24.319.986 I slot print_timing: id  0 | task 0 | n_gen =    268, tg =  14.30 t/s, tg_3s =  13.49 t/s
0.27.361.209 I slot print_timing: id  0 | task 0 | n_gen =    318, tg =  14.60 t/s, tg_3s =  16.44 t/s
0.30.401.534 I slot print_timing: id  0 | task 0 | n_gen =    368, tg =  14.82 t/s, tg_3s =  16.45 t/s
0.33.441.948 I slot print_timing: id  0 | task 0 | n_gen =    413, tg =  14.82 t/s, tg_3s =  14.80 t/s
0.36.486.456 I slot print_timing: id  0 | task 0 | n_gen =    460, tg =  14.88 t/s, tg_3s =  15.44 t/s
0.39.530.794 I slot print_timing: id  0 | task 0 | n_gen =    512, tg =  15.08 t/s, tg_3s =  17.08 t/s
0.42.575.034 I slot print_timing: id  0 | task 0 | n_gen =    561, tg =  15.16 t/s, tg_3s =  16.10 t/s
0.45.619.329 I slot print_timing: id  0 | task 0 | n_gen =    614, tg =  15.34 t/s, tg_3s =  17.41 t/s
0.48.663.120 I slot print_timing: id  0 | task 0 | n_gen =    669, tg =  15.53 t/s, tg_3s =  18.07 t/s
0.50.340.812 I slot print_timing: id  0 | task 0 | prompt eval time =     564.53 ms /    81 tokens (    6.97 ms per token,   143.48 tokens per second)
0.50.340.816 I slot print_timing: id  0 | task 0 |        eval time =   44695.25 ms /   700 tokens (   63.94 ms per token,    15.64 tokens per second)
0.50.340.818 I slot print_timing: id  0 | task 0 |       total time =   45259.79 ms /   781 tokens
0.50.340.822 I slot print_timing: id  0 | task 0 |    graphs reused =        291
0.50.340.827 I slot print_timing: id  0 | task 0 | draft acceptance = 0.68878 (  405 accepted /   588 generated), mean len =  2.38
0.50.340.948 I slot      release: id  0 | task 0 | stop processing: n_tokens = 780, truncated = 0
0.50.346.633 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.104
0.50.454.727 I slot launch_slot_: id  0 | task 298 | processing task, is_child = 0
0.57.528.620 I slot print_timing: id  0 | task 298 | n_gen =    101, tg =  15.35 t/s, tg_3s =  15.50 t/s
1.00.557.584 I slot print_timing: id  0 | task 298 | n_gen =    145, tg =  15.09 t/s, tg_3s =  14.53 t/s
1.03.592.714 I slot print_timing: id  0 | task 298 | n_gen =    188, tg =  14.87 t/s, tg_3s =  14.17 t/s
1.06.633.069 I slot print_timing: id  0 | task 298 | n_gen =    227, tg =  14.47 t/s, tg_3s =  12.83 t/s
1.09.672.878 I slot print_timing: id  0 | task 298 | n_gen =    268, tg =  14.31 t/s, tg_3s =  13.49 t/s
1.12.712.789 I slot print_timing: id  0 | task 298 | n_gen =    318, tg =  14.61 t/s, tg_3s =  16.45 t/s
1.15.752.614 I slot print_timing: id  0 | task 298 | n_gen =    368, tg =  14.83 t/s, tg_3s =  16.45 t/s
1.18.794.126 I slot print_timing: id  0 | task 298 | n_gen =    413, tg =  14.83 t/s, tg_3s =  14.80 t/s
1.21.838.146 I slot print_timing: id  0 | task 298 | n_gen =    460, tg =  14.89 t/s, tg_3s =  15.44 t/s
1.24.882.249 I slot print_timing: id  0 | task 298 | n_gen =    512, tg =  15.09 t/s, tg_3s =  17.08 t/s
1.27.926.341 I slot print_timing: id  0 | task 298 | n_gen =    561, tg =  15.17 t/s, tg_3s =  16.10 t/s
1.30.970.376 I slot print_timing: id  0 | task 298 | n_gen =    614, tg =  15.34 t/s, tg_3s =  17.41 t/s
1.34.014.692 I slot print_timing: id  0 | task 298 | n_gen =    669, tg =  15.53 t/s, tg_3s =  18.07 t/s
1.35.691.739 I slot print_timing: id  0 | task 298 | prompt eval time =     558.36 ms /    81 tokens (    6.89 ms per token,   145.07 tokens per second)
1.35.691.744 I slot print_timing: id  0 | task 298 |        eval time =   44678.59 ms /   700 tokens (   63.92 ms per token,    15.65 tokens per second)
1.35.691.745 I slot print_timing: id  0 | task 298 |       total time =   45236.95 ms /   781 tokens
1.35.691.746 I slot print_timing: id  0 | task 298 |    graphs reused =        581
1.35.691.750 I slot print_timing: id  0 | task 298 | draft acceptance = 0.68878 (  405 accepted /   588 generated), mean len =  2.38
1.35.691.835 I slot      release: id  0 | task 298 | stop processing: n_tokens = 780, truncated = 0
1.35.702.365 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.542 (> 0.100 thold), f_keep = 0.058
1.35.702.447 I slot launch_slot_: id  0 | task 596 | processing task, is_child = 0
1.42.032.989 I slot print_timing: id  0 | task 596 | n_gen =    100, tg =  17.19 t/s, tg_3s =  17.36 t/s
1.45.062.785 I slot print_timing: id  0 | task 596 | n_gen =    136, tg =  15.36 t/s, tg_3s =  11.88 t/s
1.48.093.102 I slot print_timing: id  0 | task 596 | n_gen =    173, tg =  14.55 t/s, tg_3s =  12.21 t/s
1.51.134.717 I slot print_timing: id  0 | task 596 | n_gen =    220, tg =  14.74 t/s, tg_3s =  15.45 t/s
1.54.175.697 I slot print_timing: id  0 | task 596 | n_gen =    269, tg =  14.97 t/s, tg_3s =  16.11 t/s
1.57.215.664 I slot print_timing: id  0 | task 596 | n_gen =    322, tg =  15.33 t/s, tg_3s =  17.43 t/s
2.00.256.440 I slot print_timing: id  0 | task 596 | n_gen =    372, tg =  15.47 t/s, tg_3s =  16.44 t/s
2.03.296.333 I slot print_timing: id  0 | task 596 | n_gen =    418, tg =  15.43 t/s, tg_3s =  15.13 t/s
2.06.341.884 I slot print_timing: id  0 | task 596 | n_gen =    472, tg =  15.66 t/s, tg_3s =  17.73 t/s
2.09.385.595 I slot print_timing: id  0 | task 596 | n_gen =    524, tg =  15.80 t/s, tg_3s =  17.08 t/s
2.12.429.838 I slot print_timing: id  0 | task 596 | n_gen =    569, tg =  15.71 t/s, tg_3s =  14.78 t/s
2.15.474.381 I slot print_timing: id  0 | task 596 | n_gen =    618, tg =  15.74 t/s, tg_3s =  16.09 t/s
2.18.518.294 I slot print_timing: id  0 | task 596 | n_gen =    669, tg =  15.81 t/s, tg_3s =  16.75 t/s
2.20.500.850 I slot print_timing: id  0 | task 596 | prompt eval time =     571.47 ms /    83 tokens (    6.89 ms per token,   145.24 tokens per second)
2.20.500.855 I slot print_timing: id  0 | task 596 |        eval time =   44226.88 ms /   700 tokens (   63.27 ms per token,    15.80 tokens per second)
2.20.500.856 I slot print_timing: id  0 | task 596 |       total time =   44798.35 ms /   783 tokens
2.20.500.857 I slot print_timing: id  0 | task 596 |    graphs reused =        868
2.20.500.862 I slot print_timing: id  0 | task 596 | draft acceptance = 0.70103 (  408 accepted /   582 generated), mean len =  2.40
2.20.500.944 I slot      release: id  0 | task 596 | stop processing: n_tokens = 782, truncated = 0
2.20.509.186 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.549 (> 0.100 thold), f_keep = 0.058
2.20.612.497 I slot launch_slot_: id  0 | task 891 | processing task, is_child = 0
2.27.232.132 I slot print_timing: id  0 | task 891 | n_gen =    100, tg =  16.33 t/s, tg_3s =  16.50 t/s
2.30.261.874 I slot print_timing: id  0 | task 891 | n_gen =    138, tg =  15.07 t/s, tg_3s =  12.54 t/s
2.33.295.581 I slot print_timing: id  0 | task 891 | n_gen =    181, tg =  14.84 t/s, tg_3s =  14.17 t/s
2.36.336.331 I slot print_timing: id  0 | task 891 | n_gen =    228, tg =  14.97 t/s, tg_3s =  15.46 t/s
2.39.375.704 I slot print_timing: id  0 | task 891 | n_gen =    272, tg =  14.89 t/s, tg_3s =  14.48 t/s
2.42.415.459 I slot print_timing: id  0 | task 891 | n_gen =    308, tg =  14.45 t/s, tg_3s =  11.84 t/s
2.45.455.275 I slot print_timing: id  0 | task 891 | n_gen =    347, tg =  14.25 t/s, tg_3s =  12.83 t/s
2.48.495.218 I slot print_timing: id  0 | task 891 | n_gen =    388, tg =  14.16 t/s, tg_3s =  13.49 t/s
2.51.536.035 I slot print_timing: id  0 | task 891 | n_gen =    427, tg =  14.03 t/s, tg_3s =  12.83 t/s
2.54.580.421 I slot print_timing: id  0 | task 891 | n_gen =    462, tg =  13.80 t/s, tg_3s =  11.50 t/s
2.57.624.219 I slot print_timing: id  0 | task 891 | n_gen =    505, tg =  13.83 t/s, tg_3s =  14.13 t/s
3.00.668.176 I slot print_timing: id  0 | task 891 | n_gen =    545, tg =  13.77 t/s, tg_3s =  13.14 t/s
3.03.711.858 I slot print_timing: id  0 | task 891 | n_gen =    586, tg =  13.75 t/s, tg_3s =  13.47 t/s
3.06.755.106 I slot print_timing: id  0 | task 891 | n_gen =    625, tg =  13.69 t/s, tg_3s =  12.82 t/s
3.09.799.449 I slot print_timing: id  0 | task 891 | n_gen =    664, tg =  13.63 t/s, tg_3s =  12.81 t/s
3.12.238.826 I slot print_timing: id  0 | task 891 | prompt eval time =     557.17 ms /    82 tokens (    6.79 ms per token,   147.17 tokens per second)
3.12.238.832 I slot print_timing: id  0 | task 891 |        eval time =   51069.10 ms /   700 tokens (   73.06 ms per token,    13.69 tokens per second)
3.12.238.833 I slot print_timing: id  0 | task 891 |       total time =   51626.27 ms /   782 tokens
3.12.238.833 I slot print_timing: id  0 | task 891 |    graphs reused =       1200
3.12.238.839 I slot print_timing: id  0 | task 891 | draft acceptance = 0.54018 (  363 accepted /   672 generated), mean len =  2.08
3.12.238.917 I slot      release: id  0 | task 891 | stop processing: n_tokens = 781, truncated = 0
3.12.247.197 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.584 (> 0.100 thold), f_keep = 0.058
3.12.349.654 I slot launch_slot_: id  0 | task 1231 | processing task, is_child = 0
3.19.526.387 I slot print_timing: id  0 | task 1231 | n_gen =    100, tg =  15.19 t/s, tg_3s =  15.35 t/s
3.22.556.084 I slot print_timing: id  0 | task 1231 | n_gen =    139, tg =  14.46 t/s, tg_3s =  12.87 t/s
