0.00.020.919 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.021.122 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.021.192 I srv          init: The UI is disabled
0.00.021.194 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.021.247 W srv  llama_server: -----------------
0.00.021.248 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.021.249 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.021.249 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.021.249 W srv  llama_server: -----------------
0.00.022.426 I srv    load_model: loading model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.00.494.167 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.494.174 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.494.178 W model has unused tensor blk.64.attn_q.weight (size = 66846720 bytes) -- ignoring
0.00.494.179 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.494.181 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.494.186 W model has unused tensor blk.64.attn_output.weight (size = 33423360 bytes) -- ignoring
0.00.494.188 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.494.190 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.494.192 W model has unused tensor blk.64.ffn_gate.weight (size = 94699520 bytes) -- ignoring
0.00.494.193 W model has unused tensor blk.64.ffn_down.weight (size = 94699520 bytes) -- ignoring
0.00.494.194 W model has unused tensor blk.64.ffn_up.weight (size = 94699520 bytes) -- ignoring
0.00.494.198 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 55705600 bytes) -- ignoring
0.00.494.200 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.494.202 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.494.207 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.03.169.210 I cmn          init: llama threadpool init, n_threads = 16
0.03.360.982 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.03.503.705 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.506.734 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.03.506.769 I srv  llama_server: model loaded
0.03.506.775 I srv  llama_server: listening on http://127.0.0.1:8997
0.03.923.494 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.03.923.594 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.17.148.113 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =   7.79 t/s, tg_3s =   7.86 t/s
0.20.225.905 I slot print_timing: id  0 | task 0 | n_gen =    124, tg =   7.79 t/s, tg_3s =   7.80 t/s
0.23.303.390 I slot print_timing: id  0 | task 0 | n_gen =    148, tg =   7.79 t/s, tg_3s =   7.80 t/s
0.26.381.296 I slot print_timing: id  0 | task 0 | n_gen =    172, tg =   7.79 t/s, tg_3s =   7.80 t/s
0.29.474.726 I slot print_timing: id  0 | task 0 | n_gen =    196, tg =   7.79 t/s, tg_3s =   7.76 t/s
0.32.556.354 I slot print_timing: id  0 | task 0 | n_gen =    220, tg =   7.79 t/s, tg_3s =   7.79 t/s
0.35.637.239 I slot print_timing: id  0 | task 0 | n_gen =    244, tg =   7.79 t/s, tg_3s =   7.79 t/s
0.38.718.820 I slot print_timing: id  0 | task 0 | n_gen =    268, tg =   7.79 t/s, tg_3s =   7.79 t/s
0.41.799.316 I slot print_timing: id  0 | task 0 | n_gen =    292, tg =   7.79 t/s, tg_3s =   7.79 t/s
0.44.880.648 I slot print_timing: id  0 | task 0 | n_gen =    316, tg =   7.79 t/s, tg_3s =   7.79 t/s
0.47.960.686 I slot print_timing: id  0 | task 0 | n_gen =    340, tg =   7.79 t/s, tg_3s =   7.79 t/s
0.51.040.634 I slot print_timing: id  0 | task 0 | n_gen =    364, tg =   7.79 t/s, tg_3s =   7.79 t/s
0.54.120.661 I slot print_timing: id  0 | task 0 | n_gen =    388, tg =   7.79 t/s, tg_3s =   7.79 t/s
0.57.201.624 I slot print_timing: id  0 | task 0 | n_gen =    412, tg =   7.79 t/s, tg_3s =   7.79 t/s
1.00.295.427 I slot print_timing: id  0 | task 0 | n_gen =    436, tg =   7.79 t/s, tg_3s =   7.76 t/s
1.03.379.380 I slot print_timing: id  0 | task 0 | n_gen =    460, tg =   7.79 t/s, tg_3s =   7.78 t/s
1.06.463.863 I slot print_timing: id  0 | task 0 | n_gen =    484, tg =   7.79 t/s, tg_3s =   7.78 t/s
1.09.547.621 I slot print_timing: id  0 | task 0 | n_gen =    508, tg =   7.79 t/s, tg_3s =   7.78 t/s
1.12.631.969 I slot print_timing: id  0 | task 0 | n_gen =    532, tg =   7.79 t/s, tg_3s =   7.78 t/s
1.15.715.449 I slot print_timing: id  0 | task 0 | n_gen =    556, tg =   7.79 t/s, tg_3s =   7.78 t/s
1.18.800.185 I slot print_timing: id  0 | task 0 | n_gen =    580, tg =   7.79 t/s, tg_3s =   7.78 t/s
1.21.885.023 I slot print_timing: id  0 | task 0 | n_gen =    604, tg =   7.79 t/s, tg_3s =   7.78 t/s
