0.00.021.327 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.021.527 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.021.589 I srv          init: The UI is disabled
0.00.021.590 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.021.642 W srv  llama_server: -----------------
0.00.021.643 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.021.643 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.021.643 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.021.643 W srv  llama_server: -----------------
0.00.022.872 I srv    load_model: loading model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.863.575 I cmn          init: llama threadpool init, n_threads = 16
0.04.106.439 I common_speculative_init_result: creating MTP draft context against the target model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.04.121.563 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.04.273.196 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.04.300.644 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.04.300.679 I srv  llama_server: model loaded
0.04.300.685 I srv  llama_server: listening on http://127.0.0.1:8997
0.05.044.693 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.05.044.784 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.11.462.346 I slot print_timing: id  0 | task 0 | n_gen =    101, tg =  17.07 t/s, tg_3s =  17.24 t/s
0.14.554.771 I slot print_timing: id  0 | task 0 | n_gen =    149, tg =  16.53 t/s, tg_3s =  15.52 t/s
0.17.651.310 I slot print_timing: id  0 | task 0 | n_gen =    191, tg =  15.77 t/s, tg_3s =  13.56 t/s
0.20.748.283 I slot print_timing: id  0 | task 0 | n_gen =    234, tg =  15.38 t/s, tg_3s =  13.88 t/s
0.23.843.755 I slot print_timing: id  0 | task 0 | n_gen =    280, tg =  15.30 t/s, tg_3s =  14.86 t/s
0.26.941.486 I slot print_timing: id  0 | task 0 | n_gen =    339, tg =  15.84 t/s, tg_3s =  19.05 t/s
0.30.037.656 I slot print_timing: id  0 | task 0 | n_gen =    388, tg =  15.84 t/s, tg_3s =  15.83 t/s
0.33.132.863 I slot print_timing: id  0 | task 0 | n_gen =    425, tg =  15.40 t/s, tg_3s =  11.95 t/s
0.36.240.396 I slot print_timing: id  0 | task 0 | n_gen =    461, tg =  15.01 t/s, tg_3s =  11.58 t/s
0.39.341.290 I slot print_timing: id  0 | task 0 | n_gen =    494, tg =  14.61 t/s, tg_3s =  10.64 t/s
0.42.442.702 I slot print_timing: id  0 | task 0 | n_gen =    528, tg =  14.31 t/s, tg_3s =  10.96 t/s
0.45.546.010 I slot print_timing: id  0 | task 0 | n_gen =    585, tg =  14.62 t/s, tg_3s =  18.37 t/s
0.48.647.309 I slot print_timing: id  0 | task 0 | n_gen =    624, tg =  14.47 t/s, tg_3s =  12.58 t/s
0.51.750.020 I slot print_timing: id  0 | task 0 | n_gen =    672, tg =  14.54 t/s, tg_3s =  15.47 t/s
0.54.283.870 I slot print_timing: id  0 | task 0 | prompt eval time =     557.80 ms /    81 tokens (    6.89 ms per token,   145.21 tokens per second)
0.54.283.873 I slot print_timing: id  0 | task 0 |        eval time =   48681.26 ms /   700 tokens (   69.64 ms per token,    14.36 tokens per second)
0.54.283.874 I slot print_timing: id  0 | task 0 |       total time =   49239.06 ms /   781 tokens
0.54.283.881 I slot print_timing: id  0 | task 0 |    graphs reused =        278
0.54.283.886 I slot print_timing: id  0 | task 0 | draft acceptance = 0.36945 (  416 accepted /  1126 generated), mean len =  2.48
0.54.283.981 I slot      release: id  0 | task 0 | stop processing: n_tokens = 780, truncated = 0
0.54.286.798 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.104
0.54.379.951 I slot launch_slot_: id  0 | task 287 | processing task, is_child = 0
1.00.772.554 I slot print_timing: id  0 | task 287 | n_gen =    101, tg =  17.12 t/s, tg_3s =  17.29 t/s
1.03.864.035 I slot print_timing: id  0 | task 287 | n_gen =    150, tg =  16.68 t/s, tg_3s =  15.85 t/s
