# v3-27b: LLAMA_KQ_MASK_DERIVED_VERIFY=1 -- every 'verify_derived_kq_mask_impl' record from the run
0.02.635.752 I verify_derived_kq_mask_impl: n_kv=256 n_tps=2 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=512 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
|0.02.744.344 I verify_derived_kq_mask_impl: n_kv=256 n_tps=2 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=512 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.03.009.468 I verify_derived_kq_mask_impl: n_kv=256 n_tps=42 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=10752 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.03.125.301 I verify_derived_kq_mask_impl: n_kv=2304 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=4718592 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.03.157.463 I verify_derived_kq_mask_impl: n_kv=4352 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=8912896 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.04.661.577 I verify_derived_kq_mask_impl: n_kv=6400 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=13107200 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.06.314.780 I verify_derived_kq_mask_impl: n_kv=8448 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=17301504 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.08.117.352 I verify_derived_kq_mask_impl: n_kv=10496 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=21495808 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.10.067.237 I verify_derived_kq_mask_impl: n_kv=12544 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=25690112 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.12.164.425 I verify_derived_kq_mask_impl: n_kv=14592 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=29884416 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.14.405.627 I verify_derived_kq_mask_impl: n_kv=16640 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=34078720 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.16.783.431 I verify_derived_kq_mask_impl: n_kv=18688 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=38273024 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.19.305.594 I verify_derived_kq_mask_impl: n_kv=20736 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=42467328 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.21.966.920 I verify_derived_kq_mask_impl: n_kv=22784 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=46661632 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.24.770.660 I verify_derived_kq_mask_impl: n_kv=24832 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=50855936 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.27.720.278 I verify_derived_kq_mask_impl: n_kv=26880 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=55050240 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.30.806.296 I verify_derived_kq_mask_impl: n_kv=28928 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=59244544 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.34.030.343 I verify_derived_kq_mask_impl: n_kv=30976 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=63438848 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.37.387.458 I verify_derived_kq_mask_impl: n_kv=33024 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=67633152 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.40.877.289 I verify_derived_kq_mask_impl: n_kv=35072 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=71827456 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.44.506.478 I verify_derived_kq_mask_impl: n_kv=37120 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=76021760 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.48.273.350 I verify_derived_kq_mask_impl: n_kv=39168 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=80216064 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.52.051.952 I verify_derived_kq_mask_impl: n_kv=39680 n_tps=559 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=22181120 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.57.425.339 I verify_derived_kq_mask_impl: n_kv=41728 n_tps=2044 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=85292032 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
1.01.672.260 I verify_derived_kq_mask_impl: n_kv=41728 n_tps=4 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=166912 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
