# v3-fa0: LLAMA_KQ_MASK_DERIVED_VERIFY=1 -- every 'verify_derived_kq_mask_impl' record from the run
0.00.882.806 I verify_derived_kq_mask_impl: n_kv=256 n_tps=2 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=512 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
-0.00.956.323 I verify_derived_kq_mask_impl: n_kv=256 n_tps=2 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=512 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.01.051.747 I verify_derived_kq_mask_impl: n_kv=256 n_tps=84 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=21504 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.01.977.807 I verify_derived_kq_mask_impl: n_kv=2304 n_tps=2044 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=4709376 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.02.267.734 I verify_derived_kq_mask_impl: n_kv=2304 n_tps=4 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=9216 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
Thinking0.02.281.971 I verify_derived_kq_mask_impl: n_kv=2304 n_tps=1 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=2304 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
# aggregate:
      2 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=512 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=9216 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=4709376 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=2304 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=21504 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
