axis	prompt	arm	tps	tok	acc	meanlen
reasoning	r1-reasoning.txt	c9_refd	58.70	3000	0.51778	2.86
reasoning	r2-reasoning.txt	c9_refd	59.95	3000	0.53712	2.93
reasoning	r3-reasoning.txt	c9_refd	63.04	3000	0.56516	3.16
reasoning	r4-reasoning.txt	c9_refd	59.58	3000	0.54291	2.89
prose	p1-prose.txt	c9_refd	77.29	2329	0.61720	4.65
prose	p2-prose.txt	c9_refd	65.89	1086	0.58542	3.44
prose	p3-prose.txt	c9_refd	78.11	1151	0.58079	4.84
prose	p4-prose.txt	c9_refd	64.54	1042	0.52381	3.55
code	c1-code.txt	c9_refd	96.83	3000	0.66849	7.01
code	c2-code.txt	c9_refd	84.05	3000	0.66362	4.95
code	c3-code.txt	c9_refd	84.36	3000	0.63431	5.34
code	c4-code.txt	c9_refd	79.62	3000	0.61427	4.75
recall	k1-recall.txt	c9_refd	235.68	498	0.96813	38.38
reasoning	r1-reasoning.txt	c9_climb	61.15	3000	0.56194	2.99
reasoning	r2-reasoning.txt	c9_climb	60.94	3000	0.54511	3.02
reasoning	r3-reasoning.txt	c9_climb	60.21	3000	0.56225	2.89
reasoning	r4-reasoning.txt	c9_climb	62.21	3000	0.59970	2.96
prose	p1-prose.txt	c9_climb	78.56	2275	0.63880	4.68
prose	p2-prose.txt	c9_climb	68.61	1077	0.61129	3.62
prose	p3-prose.txt	c9_climb	78.94	1149	0.63926	4.61
prose	p4-prose.txt	c9_climb	67.21	1058	0.59134	3.45
code	c1-code.txt	c9_climb	97.30	3000	0.66849	7.01
code	c2-code.txt	c9_climb	90.80	3000	0.66640	6.00
code	c3-code.txt	c9_climb	85.59	3000	0.63028	5.57
code	c4-code.txt	c9_climb	83.01	3000	0.64288	5.05
recall	k1-recall.txt	c9_climb	234.84	498	0.96813	38.38
reasoning	r1-reasoning.txt	c9_hi2	57.46	3000	0.50013	2.83
reasoning	r2-reasoning.txt	c9_hi2	57.32	3000	0.51330	2.76
reasoning	r3-reasoning.txt	c9_hi2	61.45	3000	0.55078	3.04
reasoning	r4-reasoning.txt	c9_hi2	64.18	3000	0.59766	3.13
prose	p1-prose.txt	c9_hi2	80.71	2700	0.62356	4.99
prose	p2-prose.txt	c9_hi2	70.71	1152	0.57485	3.98
prose	p3-prose.txt	c9_hi2	79.34	1151	0.57506	5.08
prose	p4-prose.txt	c9_hi2	66.34	1106	0.49909	3.87
code	c1-code.txt	c9_hi2	97.39	3000	0.66849	7.01
code	c2-code.txt	c9_hi2	86.30	3000	0.63301	5.47
code	c3-code.txt	c9_hi2	87.69	3000	0.61731	5.98
code	c4-code.txt	c9_hi2	83.68	3000	0.61184	5.26
recall	k1-recall.txt	c9_hi2	234.59	498	0.96813	38.38
reasoning	r1-reasoning.txt	c8_base	60.40	3000	0.55440	2.91
reasoning	r2-reasoning.txt	c8_base	60.25	3000	0.55681	2.90
reasoning	r3-reasoning.txt	c8_base	61.35	3000	0.57201	2.95
reasoning	r4-reasoning.txt	c8_base	62.36	3000	0.59622	2.97
prose	p1-prose.txt	c8_base	80.47	2283	0.63480	4.86
prose	p2-prose.txt	c8_base	71.94	1077	0.59970	4.01
prose	p3-prose.txt	c8_base	81.14	1117	0.62827	4.85
prose	p4-prose.txt	c8_base	69.00	1041	0.56406	3.78
code	c1-code.txt	c8_base	97.78	3000	0.71130	6.68
code	c2-code.txt	c8_base	85.26	3000	0.64866	5.23
code	c3-code.txt	c8_base	88.52	3000	0.64301	5.81
code	c4-code.txt	c8_base	84.97	3000	0.65872	5.03
recall	k1-recall.txt	c8_base	237.66	498	0.97782	38.31
reasoning	r1-reasoning.txt	c7_base	60.65	3000	0.56042	2.92
reasoning	r2-reasoning.txt	c7_base	60.01	3000	0.54234	2.90
reasoning	r3-reasoning.txt	c7_base	63.57	3000	0.59050	3.08
reasoning	r4-reasoning.txt	c7_base	63.40	3000	0.60633	3.04
prose	p1-prose.txt	c7_base	80.78	2279	0.64408	4.82
prose	p2-prose.txt	c7_base	72.49	1068	0.62090	3.93
prose	p3-prose.txt	c7_base	81.93	1151	0.64614	4.79
prose	p4-prose.txt	c7_base	68.71	1021	0.58917	3.61
code	c1-code.txt	c7_base	96.78	3000	0.71868	6.02
code	c2-code.txt	c7_base	87.93	3000	0.67044	5.26
code	c3-code.txt	c7_base	88.15	3000	0.65350	5.45
code	c4-code.txt	c7_base	83.96	3000	0.63723	5.03
recall	k1-recall.txt	c7_base	236.37	498	0.97586	35.64
reasoning	r1-reasoning.txt	c6_base	60.50	3000	0.56746	2.89
reasoning	r2-reasoning.txt	c6_base	60.22	3000	0.55035	2.89
reasoning	r3-reasoning.txt	c6_base	63.63	3000	0.60000	3.07
reasoning	r4-reasoning.txt	c6_base	63.48	3000	0.61517	3.01
prose	p1-prose.txt	c6_base	81.31	2279	0.66199	4.70
prose	p2-prose.txt	c6_base	72.23	1068	0.63819	3.86
prose	p3-prose.txt	c6_base	83.56	1151	0.66497	4.79
prose	p4-prose.txt	c6_base	68.48	1021	0.59951	3.55
code	c1-code.txt	c6_base	95.86	3000	0.76753	5.60
code	c2-code.txt	c6_base	89.08	3000	0.69571	5.17
code	c3-code.txt	c6_base	88.56	3000	0.68798	5.20
code	c4-code.txt	c6_base	84.91	3000	0.67566	4.84
recall	k1-recall.txt	c6_base	232.73	498	0.97581	33.27
reasoning	r1-reasoning.txt	c5_base	60.70	3000	0.57907	2.89
reasoning	r2-reasoning.txt	c5_base	59.79	3000	0.55759	2.86
reasoning	r3-reasoning.txt	c5_base	63.56	3000	0.60539	3.07
reasoning	r4-reasoning.txt	c5_base	63.26	3000	0.62066	3.01
prose	p1-prose.txt	c5_base	80.39	2279	0.68792	4.39
prose	p2-prose.txt	c5_base	70.69	1068	0.66695	3.60
prose	p3-prose.txt	c5_base	84.03	1151	0.70630	4.53
prose	p4-prose.txt	c5_base	68.63	1021	0.61364	3.48
code	c1-code.txt	c5_base	94.71	3000	0.81772	5.08
code	c2-code.txt	c5_base	89.01	3000	0.75710	4.78
code	c3-code.txt	c5_base	88.31	3000	0.74451	4.79
code	c4-code.txt	c5_base	84.37	3000	0.71776	4.50
recall	k1-recall.txt	c5_base	231.33	498	0.97972	31.19
