build	axis	spec	tps	acc	meanlen	accepted	generated
stock	reasoning	plain	28.27				
stock	reasoning	static_n3	46.79	0.58571	2.76	1910	3261
stock	prose-rdna-boosts	plain	27.86				
stock	prose-rdna-boosts	static_n3	58.74	0.84518	3.54	1605	1899
stock	code-python	plain	28.24				
stock	code-python	static_n3	62.73	0.90119	3.70	2189	2429
stock	recall	plain	28.34				
stock	recall	static_n3	67.69	0.99200	3.98	372	375
pr	reasoning	plain	28.26				
pr	reasoning	static_n3	46.80	0.58571	2.76	1910	3261
pr	reasoning	adaptive_n12	46.81	0.58404	2.77	1918	3284
pr	prose-rdna-boosts	plain	27.87				
pr	prose-rdna-boosts	static_n3	58.66	0.84518	3.54	1605	1899
pr	prose-rdna-boosts	adaptive_n12	68.15	0.50805	5.96	2019	3974
pr	code-python	plain	28.24				
pr	code-python	static_n3	62.66	0.90119	3.70	2189	2429
pr	code-python	adaptive_n12	81.82	0.58519	7.09	2576	4402
pr	recall	plain	28.35				
pr	recall	static_n3	67.65	0.99200	3.98	372	375
pr	recall	adaptive_n12	106.27	0.96320	8.95	445	462
delivery	reasoning	plain	28.89				
delivery	reasoning	static_n3	47.89	0.60150	2.80	1929	3207
delivery	reasoning	adaptive_n12	47.19	0.56835	3.01	2004	3526
delivery	reasoning	adaptive_n7	46.81	0.58719	2.87	1953	3326
delivery	prose-rdna-boosts	plain	28.49				
delivery	prose-rdna-boosts	static_n3	56.77	0.81099	3.43	1579	1947
delivery	prose-rdna-boosts	adaptive_n12	57.04	0.60232	5.11	1716	2849
delivery	prose-rdna-boosts	adaptive_n7	52.25	0.64754	4.67	1749	2701
delivery	code-python	plain	28.87				
delivery	code-python	static_n3	63.56	0.90770	3.72	2193	2416
delivery	code-python	adaptive_n12	84.66	0.66337	6.71	2552	3847
delivery	code-python	adaptive_n7	60.85	0.73984	5.94	2494	3371
delivery	recall	plain	28.97				
delivery	recall	static_n3	68.26	0.99200	3.98	372	375
delivery	recall	adaptive_n12	127.88	0.96000	11.13	456	475
delivery	recall	adaptive_n7	75.69	0.98161	6.77	427	435
