axis	prompt	arm	tps	tok	acc	meanlen
reasoning	r1-reasoning.txt	table	153.17	3000	0.69005	3.21
reasoning	r1-reasoning.txt	bucket	158.68	3000	0.63151	4.18
reasoning	r2-reasoning.txt	table	139.41	3000	0.53971	4.04
reasoning	r2-reasoning.txt	bucket	139.95	3000	0.59436	3.01
reasoning	r3-reasoning.txt	table	135.92	3000	0.51079	4.41
reasoning	r3-reasoning.txt	bucket	154.04	3000	0.62001	4.01
reasoning	r4-reasoning.txt	table	135.13	3000	0.50164	4.30
reasoning	r4-reasoning.txt	bucket	161.70	3000	0.62310	4.56
prose	p1-prose.txt	table	144.05	2039	0.56890	4.13
prose	p1-prose.txt	bucket	149.00	1953	0.60107	3.91
prose	p2-prose.txt	table	154.63	1276	0.68707	3.46
prose	p2-prose.txt	bucket	142.30	1081	0.54643	4.08
prose	p3-prose.txt	table	156.74	940	0.65355	3.64
prose	p3-prose.txt	bucket	145.85	1035	0.55650	4.12
prose	p4-prose.txt	table	147.32	957	0.65784	3.08
prose	p4-prose.txt	bucket	131.75	907	0.51093	3.27
code	c1-code.txt	table	153.43	3000	0.56131	5.79
code	c1-code.txt	bucket	166.58	3000	0.64573	5.87
code	c2-code.txt	table	151.31	3000	0.56233	5.16
code	c2-code.txt	bucket	164.81	3000	0.64278	4.97
code	c3-code.txt	table	146.76	3000	0.53817	5.23
code	c3-code.txt	bucket	160.59	3000	0.62539	4.96
code	c4-code.txt	table	147.73	3000	0.56014	4.60
code	c4-code.txt	bucket	160.77	3000	0.62449	4.35
recall	k1-recall.txt	table	233.17	498	0.92100	8.64
recall	k1-recall.txt	bucket	238.73	498	0.91348	10.66
recall	k2-recall.txt	table	236.58	499	0.94280	8.81
recall	k2-recall.txt	bucket	237.40	499	0.91182	10.68
recall	k3-recall.txt	table	239.95	502	0.95329	9.02
recall	k3-recall.txt	bucket	241.86	502	0.92540	10.98
recall	k4-recall.txt	table	236.74	452	0.94366	8.58
recall	k4-recall.txt	bucket	241.47	452	0.92394	10.83
