ggml_cuda_init: found 3 ROCm devices (Total VRAM: 97872 MiB):
  Device 0: AMD Radeon AI PRO R9700, gfx1201 (0x1201), VMM: no, Wave Size: 32, VRAM: 32624 MiB
  Device 1: AMD Radeon AI PRO R9700, gfx1201 (0x1201), VMM: no, Wave Size: 32, VRAM: 32624 MiB
  Device 2: AMD Radeon AI PRO R9700, gfx1201 (0x1201), VMM: no, Wave Size: 32, VRAM: 32624 MiB
| model                          |       size |     params | backend    | ngl | threads | n_ubatch |     sm |  fa |         lm |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | --: | ------: | -------: | -----: | --: | ---------: | --------------: | -------------------: |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 | tensor |   1 |       none |         pp16384 |       2274.27 ± 7.30 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 | tensor |   1 |       none |          pp8192 |       2264.79 ± 3.95 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 | tensor |   1 |       none |          pp4096 |       2174.07 ± 2.70 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 | tensor |   1 |       none |          pp2048 |       2026.21 ± 3.09 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 | tensor |   1 |       none |          pp1024 |       1797.52 ± 1.99 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 | tensor |   1 |       none |           pp512 |       1434.21 ± 5.10 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 | tensor |   1 |       none |           tg128 |         50.07 ± 2.73 |

build: c63f7f2a0 (10845)
