ggml_cuda_init: found 3 ROCm devices (Total VRAM: 97872 MiB):
  Device 0: AMD Radeon AI PRO R9700, gfx1201 (0x1201), VMM: no, Wave Size: 32, VRAM: 32624 MiB
  Device 1: AMD Radeon AI PRO R9700, gfx1201 (0x1201), VMM: no, Wave Size: 32, VRAM: 32624 MiB
  Device 2: AMD Radeon AI PRO R9700, gfx1201 (0x1201), VMM: no, Wave Size: 32, VRAM: 32624 MiB
| model                          |       size |     params | backend    | ngl | threads | n_ubatch | type_k | type_v |     sm |  fa |         lm |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | --: | ------: | -------: | -----: | -----: | -----: | --: | ---------: | --------------: | -------------------: |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   q8_0 |   q8_0 | tensor |   1 |       none |         pp16384 |       2230.66 ± 2.19 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   q8_0 |   q8_0 | tensor |   1 |       none |          pp8192 |      2258.26 ± 10.29 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   q8_0 |   q8_0 | tensor |   1 |       none |          pp4096 |      2247.06 ± 31.10 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   q8_0 |   q8_0 | tensor |   1 |       none |          pp2048 |       2268.76 ± 9.16 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   q8_0 |   q8_0 | tensor |   1 |       none |          pp1024 |       1969.22 ± 4.40 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   q8_0 |   q8_0 | tensor |   1 |       none |           pp512 |      1527.39 ± 20.57 |
| qwen4exp A3B IQ4_XS - 4.25 bpw |  87.24 GiB |   176.94 B | ROCm       |  99 |      15 |     2048 |   q8_0 |   q8_0 | tensor |   1 |       none |           tg128 |         48.75 ± 2.31 |

build: c63f7f2a0 (10845)
