0.00.020.521 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.020.743 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.020.811 I srv          init: The UI is disabled
0.00.020.812 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.020.865 W srv  llama_server: -----------------
0.00.020.866 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.020.866 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.020.867 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.020.867 W srv  llama_server: -----------------
0.00.022.108 I srv    load_model: loading model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.565.718 I cmn          init: llama threadpool init, n_threads = 16
0.03.762.545 I common_speculative_init_result: creating MTP draft context against the target model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.781.450 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.03.934.314 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.965.158 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.03.965.193 I srv  llama_server: model loaded
0.03.965.199 I srv  llama_server: listening on http://127.0.0.1:8997
0.04.079.707 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.079.762 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.10.497.862 I slot print_timing: id  0 | task 0 | n_gen =    101, tg =  17.09 t/s, tg_3s =  17.26 t/s
0.13.592.614 I slot print_timing: id  0 | task 0 | n_gen =    149, tg =  16.54 t/s, tg_3s =  15.51 t/s
0.16.692.881 I slot print_timing: id  0 | task 0 | n_gen =    191, tg =  15.77 t/s, tg_3s =  13.55 t/s
0.19.794.332 I slot print_timing: id  0 | task 0 | n_gen =    234, tg =  15.38 t/s, tg_3s =  13.86 t/s
0.22.893.417 I slot print_timing: id  0 | task 0 | n_gen =    280, tg =  15.29 t/s, tg_3s =  14.84 t/s
0.25.999.268 I slot print_timing: id  0 | task 0 | n_gen =    339, tg =  15.83 t/s, tg_3s =  19.00 t/s
0.29.099.350 I slot print_timing: id  0 | task 0 | n_gen =    388, tg =  15.83 t/s, tg_3s =  15.81 t/s
0.32.198.133 I slot print_timing: id  0 | task 0 | n_gen =    425, tg =  15.39 t/s, tg_3s =  11.94 t/s
0.35.308.805 I slot print_timing: id  0 | task 0 | n_gen =    461, tg =  15.00 t/s, tg_3s =  11.57 t/s
0.38.412.640 I slot print_timing: id  0 | task 0 | n_gen =    494, tg =  14.60 t/s, tg_3s =  10.63 t/s
0.41.516.020 I slot print_timing: id  0 | task 0 | n_gen =    528, tg =  14.29 t/s, tg_3s =  10.96 t/s
0.44.624.585 I slot print_timing: id  0 | task 0 | n_gen =    585, tg =  14.61 t/s, tg_3s =  18.34 t/s
0.47.729.321 I slot print_timing: id  0 | task 0 | n_gen =    624, tg =  14.46 t/s, tg_3s =  12.56 t/s
0.50.838.380 I slot print_timing: id  0 | task 0 | n_gen =    672, tg =  14.53 t/s, tg_3s =  15.44 t/s
0.53.374.737 I slot print_timing: id  0 | task 0 | prompt eval time =     566.39 ms /    81 tokens (    6.99 ms per token,   143.01 tokens per second)
0.53.374.741 I slot print_timing: id  0 | task 0 |        eval time =   48728.55 ms /   700 tokens (   69.71 ms per token,    14.34 tokens per second)
0.53.374.743 I slot print_timing: id  0 | task 0 |       total time =   49294.93 ms /   781 tokens
0.53.374.750 I slot print_timing: id  0 | task 0 |    graphs reused =        278
0.53.374.758 I slot print_timing: id  0 | task 0 | draft acceptance = 0.36945 (  416 accepted /  1126 generated), mean len =  2.48
0.53.374.871 I slot      release: id  0 | task 0 | stop processing: n_tokens = 780, truncated = 0
