0.00.020.337 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.020.539 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.020.603 I srv          init: The UI is disabled
0.00.020.604 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.020.657 W srv  llama_server: -----------------
0.00.020.658 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.020.659 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.020.659 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.020.659 W srv  llama_server: -----------------
0.00.021.915 I srv    load_model: loading model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.526.392 I cmn          init: llama threadpool init, n_threads = 16
0.03.706.909 I common_speculative_init_result: creating MTP draft context against the target model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.724.872 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.03.914.088 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.942.987 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.03.943.021 I srv  llama_server: model loaded
0.03.943.025 I srv  llama_server: listening on http://127.0.0.1:8997
0.04.067.423 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.067.507 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.10.395.313 I slot print_timing: id  0 | task 0 | n_gen =    104, tg =  17.95 t/s, tg_3s =  18.13 t/s
0.13.507.164 I slot print_timing: id  0 | task 0 | n_gen =    137, tg =  15.37 t/s, tg_3s =  10.60 t/s
0.16.507.218 I slot print_timing: id  0 | task 0 | n_gen =    183, tg =  15.36 t/s, tg_3s =  15.33 t/s
0.19.627.903 I slot print_timing: id  0 | task 0 | n_gen =    231, tg =  15.36 t/s, tg_3s =  15.38 t/s
0.22.748.065 I slot print_timing: id  0 | task 0 | n_gen =    279, tg =  15.37 t/s, tg_3s =  15.38 t/s
0.25.869.348 I slot print_timing: id  0 | task 0 | n_gen =    328, tg =  15.42 t/s, tg_3s =  15.70 t/s
0.28.988.851 I slot print_timing: id  0 | task 0 | n_gen =    379, tg =  15.54 t/s, tg_3s =  16.35 t/s
0.32.110.012 I slot print_timing: id  0 | task 0 | n_gen =    423, tg =  15.37 t/s, tg_3s =  14.10 t/s
0.35.118.426 I slot print_timing: id  0 | task 0 | n_gen =    467, tg =  15.30 t/s, tg_3s =  14.63 t/s
0.38.245.983 I slot print_timing: id  0 | task 0 | n_gen =    506, tg =  15.04 t/s, tg_3s =  12.47 t/s
0.41.371.985 I slot print_timing: id  0 | task 0 | n_gen =    545, tg =  14.82 t/s, tg_3s =  12.48 t/s
0.44.500.349 I slot print_timing: id  0 | task 0 | n_gen =    593, tg =  14.86 t/s, tg_3s =  15.34 t/s
0.47.627.080 I slot print_timing: id  0 | task 0 | n_gen =    645, tg =  14.99 t/s, tg_3s =  16.63 t/s
0.50.810.502 I slot print_timing: id  0 | task 0 | n_gen =    692, tg =  14.97 t/s, tg_3s =  14.76 t/s
0.51.306.046 I slot print_timing: id  0 | task 0 | prompt eval time =     591.10 ms /    81 tokens (    7.30 ms per token,   137.03 tokens per second)
0.51.306.050 I slot print_timing: id  0 | task 0 |        eval time =   46647.37 ms /   700 tokens (   66.73 ms per token,    14.98 tokens per second)
0.51.306.052 I slot print_timing: id  0 | task 0 |       total time =   47238.47 ms /   781 tokens
0.51.306.056 I slot print_timing: id  0 | task 0 |    graphs reused =        263
0.51.306.061 I slot print_timing: id  0 | task 0 | draft acceptance = 0.40318 (  431 accepted /  1069 generated), mean len =  2.61
0.51.306.145 I slot      release: id  0 | task 0 | stop processing: n_tokens = 780, truncated = 0
0.51.309.588 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.549 (> 0.100 thold), f_keep = 0.058
0.51.404.999 I slot launch_slot_: id  0 | task 272 | processing task, is_child = 0
0.57.214.041 I slot print_timing: id  0 | task 272 | n_gen =    100, tg =  18.95 t/s, tg_3s =  19.14 t/s
1.00.326.914 I slot print_timing: id  0 | task 272 | n_gen =    134, tg =  15.95 t/s, tg_3s =  10.92 t/s
1.03.327.671 I slot print_timing: id  0 | task 272 | n_gen =    182, tg =  15.96 t/s, tg_3s =  16.00 t/s
1.06.444.671 I slot print_timing: id  0 | task 272 | n_gen =    225, tg =  15.50 t/s, tg_3s =  13.80 t/s
1.09.564.352 I slot print_timing: id  0 | task 272 | n_gen =    266, tg =  15.08 t/s, tg_3s =  13.14 t/s
1.12.685.723 I slot print_timing: id  0 | task 272 | n_gen =    305, tg =  14.69 t/s, tg_3s =  12.49 t/s
1.15.806.018 I slot print_timing: id  0 | task 272 | n_gen =    335, tg =  14.02 t/s, tg_3s =   9.61 t/s
1.18.926.797 I slot print_timing: id  0 | task 272 | n_gen =    372, tg =  13.77 t/s, tg_3s =  11.86 t/s
1.22.047.835 I slot print_timing: id  0 | task 272 | n_gen =    408, tg =  13.54 t/s, tg_3s =  11.53 t/s
1.25.053.162 I slot print_timing: id  0 | task 272 | n_gen =    444, tg =  13.40 t/s, tg_3s =  11.98 t/s
1.28.179.344 I slot print_timing: id  0 | task 272 | n_gen =    484, tg =  13.35 t/s, tg_3s =  12.80 t/s
1.31.305.980 I slot print_timing: id  0 | task 272 | n_gen =    522, tg =  13.25 t/s, tg_3s =  12.15 t/s
1.34.430.581 I slot print_timing: id  0 | task 272 | n_gen =    567, tg =  13.34 t/s, tg_3s =  14.40 t/s
1.37.557.130 I slot print_timing: id  0 | task 272 | n_gen =    603, tg =  13.21 t/s, tg_3s =  11.51 t/s
1.40.683.925 I slot print_timing: id  0 | task 272 | n_gen =    649, tg =  13.31 t/s, tg_3s =  14.71 t/s
1.43.868.431 I slot print_timing: id  0 | task 272 | n_gen =    689, tg =  13.26 t/s, tg_3s =  12.56 t/s
1.44.862.658 I slot print_timing: id  0 | task 272 | prompt eval time =     584.38 ms /    82 tokens (    7.13 ms per token,   140.32 tokens per second)
1.44.862.663 I slot print_timing: id  0 | task 272 |        eval time =   52873.22 ms /   700 tokens (   75.64 ms per token,    13.22 tokens per second)
1.44.862.664 I slot print_timing: id  0 | task 272 |       total time =   53457.61 ms /   782 tokens
1.44.862.665 I slot print_timing: id  0 | task 272 |    graphs reused =        561
1.44.862.672 I slot print_timing: id  0 | task 272 | draft acceptance = 0.32618 (  395 accepted /  1211 generated), mean len =  2.30
1.44.862.716 I slot      release: id  0 | task 272 | stop processing: n_tokens = 781, truncated = 0
1.44.864.293 I srv    operator(): operator(): cleaning up before exit...
