0.00.020.058 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.020.274 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.020.339 I srv          init: The UI is disabled
0.00.020.341 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.020.396 W srv  llama_server: -----------------
0.00.020.397 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.020.398 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.020.398 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.020.398 W srv  llama_server: -----------------
0.00.021.630 I srv    load_model: loading model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.00.486.659 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.486.666 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.486.670 W model has unused tensor blk.64.attn_q.weight (size = 66846720 bytes) -- ignoring
0.00.486.672 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.486.673 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.486.679 W model has unused tensor blk.64.attn_output.weight (size = 33423360 bytes) -- ignoring
0.00.486.681 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.486.682 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.486.684 W model has unused tensor blk.64.ffn_gate.weight (size = 94699520 bytes) -- ignoring
0.00.486.686 W model has unused tensor blk.64.ffn_down.weight (size = 94699520 bytes) -- ignoring
0.00.486.687 W model has unused tensor blk.64.ffn_up.weight (size = 94699520 bytes) -- ignoring
0.00.486.691 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 55705600 bytes) -- ignoring
0.00.486.693 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.486.695 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.486.699 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.03.339.534 I cmn          init: llama threadpool init, n_threads = 16
0.03.581.719 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.03.726.845 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.729.853 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.03.729.886 I srv  llama_server: model loaded
0.03.729.891 I srv  llama_server: listening on http://127.0.0.1:8997
0.03.922.663 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.03.922.715 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.17.016.226 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =   7.86 t/s, tg_3s =   7.94 t/s
0.20.066.727 I slot print_timing: id  0 | task 0 | n_gen =    124, tg =   7.86 t/s, tg_3s =   7.87 t/s
0.23.116.885 I slot print_timing: id  0 | task 0 | n_gen =    148, tg =   7.86 t/s, tg_3s =   7.87 t/s
0.26.167.603 I slot print_timing: id  0 | task 0 | n_gen =    172, tg =   7.86 t/s, tg_3s =   7.87 t/s
0.29.232.418 I slot print_timing: id  0 | task 0 | n_gen =    196, tg =   7.86 t/s, tg_3s =   7.83 t/s
0.32.285.601 I slot print_timing: id  0 | task 0 | n_gen =    220, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.35.339.577 I slot print_timing: id  0 | task 0 | n_gen =    244, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.38.392.552 I slot print_timing: id  0 | task 0 | n_gen =    268, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.41.446.400 I slot print_timing: id  0 | task 0 | n_gen =    292, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.44.499.540 I slot print_timing: id  0 | task 0 | n_gen =    316, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.47.553.282 I slot print_timing: id  0 | task 0 | n_gen =    340, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.50.606.411 I slot print_timing: id  0 | task 0 | n_gen =    364, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.53.659.991 I slot print_timing: id  0 | task 0 | n_gen =    388, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.56.713.231 I slot print_timing: id  0 | task 0 | n_gen =    412, tg =   7.86 t/s, tg_3s =   7.86 t/s
0.59.778.481 I slot print_timing: id  0 | task 0 | n_gen =    436, tg =   7.86 t/s, tg_3s =   7.83 t/s
1.02.834.431 I slot print_timing: id  0 | task 0 | n_gen =    460, tg =   7.86 t/s, tg_3s =   7.85 t/s
1.05.890.370 I slot print_timing: id  0 | task 0 | n_gen =    484, tg =   7.86 t/s, tg_3s =   7.85 t/s
1.08.946.454 I slot print_timing: id  0 | task 0 | n_gen =    508, tg =   7.86 t/s, tg_3s =   7.85 t/s
1.12.002.770 I slot print_timing: id  0 | task 0 | n_gen =    532, tg =   7.86 t/s, tg_3s =   7.85 t/s
1.15.058.830 I slot print_timing: id  0 | task 0 | n_gen =    556, tg =   7.86 t/s, tg_3s =   7.85 t/s
1.18.115.084 I slot print_timing: id  0 | task 0 | n_gen =    580, tg =   7.86 t/s, tg_3s =   7.85 t/s
1.21.171.563 I slot print_timing: id  0 | task 0 | n_gen =    604, tg =   7.86 t/s, tg_3s =   7.85 t/s
1.24.227.600 I slot print_timing: id  0 | task 0 | n_gen =    628, tg =   7.86 t/s, tg_3s =   7.85 t/s
1.27.283.778 I slot print_timing: id  0 | task 0 | n_gen =    652, tg =   7.86 t/s, tg_3s =   7.85 t/s
1.30.339.821 I slot print_timing: id  0 | task 0 | n_gen =    676, tg =   7.86 t/s, tg_3s =   7.85 t/s
1.33.409.227 I slot print_timing: id  0 | task 0 | prompt eval time =     493.81 ms /    81 tokens (    6.10 ms per token,   164.03 tokens per second)
1.33.409.229 I slot print_timing: id  0 | task 0 |        eval time =   88992.68 ms /   700 tokens (  127.31 ms per token,     7.85 tokens per second)
1.33.409.230 I slot print_timing: id  0 | task 0 |       total time =   89486.48 ms /   781 tokens
1.33.409.232 I slot print_timing: id  0 | task 0 |    graphs reused =        696
1.33.409.272 I slot      release: id  0 | task 0 | stop processing: n_tokens = 780, truncated = 0
1.33.411.580 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.104
1.33.504.622 I slot launch_slot_: id  0 | task 703 | processing task, is_child = 0
1.46.598.134 I slot print_timing: id  0 | task 703 | n_gen =    100, tg =   7.86 t/s, tg_3s =   7.94 t/s
1.49.648.216 I slot print_timing: id  0 | task 703 | n_gen =    124, tg =   7.86 t/s, tg_3s =   7.87 t/s
1.52.698.944 I slot print_timing: id  0 | task 703 | n_gen =    148, tg =   7.86 t/s, tg_3s =   7.87 t/s
1.55.749.210 I slot print_timing: id  0 | task 703 | n_gen =    172, tg =   7.86 t/s, tg_3s =   7.87 t/s
1.58.813.971 I slot print_timing: id  0 | task 703 | n_gen =    196, tg =   7.86 t/s, tg_3s =   7.83 t/s
2.01.867.345 I slot print_timing: id  0 | task 703 | n_gen =    220, tg =   7.86 t/s, tg_3s =   7.86 t/s
2.04.920.746 I slot print_timing: id  0 | task 703 | n_gen =    244, tg =   7.86 t/s, tg_3s =   7.86 t/s
2.07.974.543 I slot print_timing: id  0 | task 703 | n_gen =    268, tg =   7.86 t/s, tg_3s =   7.86 t/s
2.11.028.187 I slot print_timing: id  0 | task 703 | n_gen =    292, tg =   7.86 t/s, tg_3s =   7.86 t/s
2.14.081.264 I slot print_timing: id  0 | task 703 | n_gen =    316, tg =   7.86 t/s, tg_3s =   7.86 t/s
2.17.134.634 I slot print_timing: id  0 | task 703 | n_gen =    340, tg =   7.86 t/s, tg_3s =   7.86 t/s
2.20.188.015 I slot print_timing: id  0 | task 703 | n_gen =    364, tg =   7.86 t/s, tg_3s =   7.86 t/s
2.23.241.470 I slot print_timing: id  0 | task 703 | n_gen =    388, tg =   7.86 t/s, tg_3s =   7.86 t/s
2.26.294.899 I slot print_timing: id  0 | task 703 | n_gen =    412, tg =   7.86 t/s, tg_3s =   7.86 t/s
2.29.360.701 I slot print_timing: id  0 | task 703 | n_gen =    436, tg =   7.86 t/s, tg_3s =   7.83 t/s
2.32.417.300 I slot print_timing: id  0 | task 703 | n_gen =    460, tg =   7.86 t/s, tg_3s =   7.85 t/s
2.35.472.897 I slot print_timing: id  0 | task 703 | n_gen =    484, tg =   7.86 t/s, tg_3s =   7.85 t/s
2.38.529.116 I slot print_timing: id  0 | task 703 | n_gen =    508, tg =   7.86 t/s, tg_3s =   7.85 t/s
2.41.585.304 I slot print_timing: id  0 | task 703 | n_gen =    532, tg =   7.86 t/s, tg_3s =   7.85 t/s
2.44.641.199 I slot print_timing: id  0 | task 703 | n_gen =    556, tg =   7.86 t/s, tg_3s =   7.85 t/s
2.47.697.312 I slot print_timing: id  0 | task 703 | n_gen =    580, tg =   7.86 t/s, tg_3s =   7.85 t/s
2.50.753.119 I slot print_timing: id  0 | task 703 | n_gen =    604, tg =   7.86 t/s, tg_3s =   7.85 t/s
2.53.809.442 I slot print_timing: id  0 | task 703 | n_gen =    628, tg =   7.86 t/s, tg_3s =   7.85 t/s
2.56.866.022 I slot print_timing: id  0 | task 703 | n_gen =    652, tg =   7.86 t/s, tg_3s =   7.85 t/s
2.59.922.264 I slot print_timing: id  0 | task 703 | n_gen =    676, tg =   7.86 t/s, tg_3s =   7.85 t/s
3.02.991.531 I slot print_timing: id  0 | task 703 | prompt eval time =     497.99 ms /    81 tokens (    6.15 ms per token,   162.65 tokens per second)
3.02.991.534 I slot print_timing: id  0 | task 703 |        eval time =   88988.90 ms /   700 tokens (  127.31 ms per token,     7.85 tokens per second)
3.02.991.535 I slot print_timing: id  0 | task 703 |       total time =   89486.89 ms /   781 tokens
3.02.991.535 I slot print_timing: id  0 | task 703 |    graphs reused =       1391
3.02.991.557 I slot      release: id  0 | task 703 | stop processing: n_tokens = 780, truncated = 0
3.02.994.241 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.542 (> 0.100 thold), f_keep = 0.058
3.02.994.304 I slot launch_slot_: id  0 | task 1406 | processing task, is_child = 0
3.16.095.491 I slot print_timing: id  0 | task 1406 | n_gen =    100, tg =   7.86 t/s, tg_3s =   7.94 t/s
3.19.146.406 I slot print_timing: id  0 | task 1406 | n_gen =    124, tg =   7.86 t/s, tg_3s =   7.87 t/s
3.22.196.672 I slot print_timing: id  0 | task 1406 | n_gen =    148, tg =   7.86 t/s, tg_3s =   7.87 t/s
3.25.247.497 I slot print_timing: id  0 | task 1406 | n_gen =    172, tg =   7.86 t/s, tg_3s =   7.87 t/s
3.28.313.084 I slot print_timing: id  0 | task 1406 | n_gen =    196, tg =   7.86 t/s, tg_3s =   7.83 t/s
3.31.366.216 I slot print_timing: id  0 | task 1406 | n_gen =    220, tg =   7.86 t/s, tg_3s =   7.86 t/s
3.34.419.933 I slot print_timing: id  0 | task 1406 | n_gen =    244, tg =   7.86 t/s, tg_3s =   7.86 t/s
3.37.473.087 I slot print_timing: id  0 | task 1406 | n_gen =    268, tg =   7.86 t/s, tg_3s =   7.86 t/s
